Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:quote,advcl:tcl,advmod,amod,appos,appos:trans,aux,case,cc,ccomp,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep,dep:infl,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:tmod,orphan,parataxis,parataxis:obj,parataxis:rep,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
es_ancora-ud-train,14287,0,217,3.0,,,,,,,,1.0,,,,,,8.0,,,,,,,,,,,200.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,18,,,,,,,,,,,,,,,2.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,36,,,,,,,,1.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,343,,,,,,,,5.0,,,,,,,,,,,,,,,,,,325.0,,,,,1.0,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
hr_set-ud-test,1136,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,57,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,51.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,
qpm_philotis-ud-train,980,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-test,635,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,26,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,3.0,,2.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,172,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,18.0,,,,,9.0,,,,,,,,,,8.0,,35.0,,,,,67.0,,,5.0,,,,,,,,,,,,,15.0,,,,
tr_atis-ud-test,586,0,22,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,1.0,,2.0,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,
pt_pud-ud-test,1000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,68,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,20.0,,24.0,,,,,6.0,,,16.0,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,302,14.0,,3.0,,,,,,,,,,,14.0,12.0,,,,,27.0,,5.0,,,,,,,,,,,,11.0,,,33.0,,,,,,,,,,,,29.0,,,,,75.0,,,75.0,,,,,,,,,2.0,,,,2.0,,,,
tr_kenet-ud-test,1643,0,249,7.0,,3.0,,,,,,,,,,,16.0,16.0,,,,,8.0,,,,,,,,1.0,,,,,,,3.0,,37.0,,,,,,,,,,,,33.0,,,,,56.0,,,64.0,,,,,,,,,1.0,,,,4.0,,,,
tr_kenet-ud-train,15398,0,1719,32.0,,22.0,,,,,19.0,,,,,,67.0,44.0,,,,,109.0,,7.0,,,,,,,1.0,,,,,13.0,4.0,,261.0,,,,,,,,,,,,218.0,,,,2.0,390.0,,,477.0,,,,,,,,,2.0,,,,48.0,,3.0,,
sms_giellagas-ud-test,230,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,168,,,,,,,,,,,,,,,,,,,,,,,,2.0,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,10,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
de_pud-ud-test,1000,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-dev,381,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-train,1419,0,162,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-test,403,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,
gl_treegal-ud-train,600,0,54,,,,,,,,1.0,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,893,2.0,,1.0,,,,,,,,,,,2.0,,,,,,5.0,,,,,,836.0,,,,,,,,,,1.0,11.0,,,,,,,,,,,,3.0,,,,,2.0,,,16.0,,,,,,,,,2.0,,,,7.0,,5.0,,
ro_simonero-ud-test,491,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,48,,,1.0,,,1.0,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,6.0,3.0,,,,11.0,,,5.0,1.0,,1.0,3.0,,7.0,,,,,,,1.0,,1.0,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
la_llct-ud-dev,850,0,275,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,216,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,1616,,,,,,,,,,,,,,1.0,,,,,,11.0,,,,,,1581.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,42,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,9.0,,1.0,,,9.0,,,14.0,,,,,,,,,1.0,,,,,,,,
hsb_ufal-ud-test,623,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,278,8.0,,18.0,,,,10.0,,,,1.0,2.0,,2.0,,,1.0,,,10.0,2.0,,,,,1.0,,,,,1.0,,,,,,20.0,,,,2.0,,,,,,29.0,,34.0,13.0,2.0,,,49.0,,,64.0,,,,,,,,,1.0,,,,4.0,,1.0,3.0,
fi_tdt-ud-test,1555,0,25,1.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,4.0,,2.0,2.0,,,,5.0,,,4.0,,,,,,,,1.0,,,,,,,,,
fi_tdt-ud-dev,1364,0,29,2.0,,3.0,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,1.0,,,,6.0,,,5.0,,,,,,,,,,,,,2.0,,,,
sr_set-ud-test,520,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,130,,,1.0,,,,,,1.0,,,,,,5.0,,,,1.0,7.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,1.0,,,,,1.0,,24.0,,,,,28.0,,,41.0,,,,2.0,3.0,7.0,,,,,,,3.0,,,,
myv_jr-ud-train,1217,0,81,,,1.0,,,,,,,,,1.0,,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,12.0,2.0,,,,21.0,,,26.0,,,,,1.0,2.0,,,,,,,5.0,,,,
quc_iu-ud-test,1435,0,166,,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,2.0,,,,,,,,19.0,,,,,,,,,,,,34.0,,,,,29.0,,,74.0,,,,,,,,,,,,,2.0,1.0,,,
tr_framenet-ud-test,205,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,80,,,1.0,,,,,,,,,,,4.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,20.0,,,,,30.0,,,12.0,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,7,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,
gun_thomas-ud-test,98,0,23,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,6.0,,,1.0,,,,,,,,,,,,,,1.0,,,
fr_pud-ud-test,1000,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_pud-ud-test,1000,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,
kpv_ikdp-ud-test,214,0,8,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
kpv_lattice-ud-test,643,0,59,,,2.0,,,2.0,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,14.0,4.0,,,,7.0,,,8.0,,,,,,5.0,,,,,,,3.0,,1.0,,
tt_nmctt-ud-test,148,0,15,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,1.0,,,,,,,,
abq_atb-ud-test,98,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,4.0,,,,,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,
tr_gb-ud-test,2880,0,238,24.0,,12.0,,,,,,,,7.0,1.0,,13.0,2.0,,,,,2.0,2.0,20.0,6.0,,,,,,,,2.0,,,,,,8.0,,,2.0,,,,,,13.0,,,35.0,2.0,2.0,,,29.0,,,39.0,,,,,,,4.0,,,,,,11.0,,2.0,,
fr_gsd-ud-test,416,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,797,,1.0,,,,,,,,,,,,,,,,,,,,,,,,791.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,25,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,6.0,,,6.0,,,,,,,,,,,,,1.0,,2.0,,
fi_pud-ud-test,1000,0,9,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,
fr_rhapsodie-ud-train,1288,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
fr_rhapsodie-ud-dev,1081,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
fr_rhapsodie-ud-test,840,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
fr_parisstories-ud-dev,692,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
fr_parisstories-ud-train,1387,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
fr_parisstories-ud-test,697,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,19,1.0,,1.0,,,,,,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,3.0,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
ota_boun-ud-train,114,0,34,,,,,,,,,,,,,,1.0,,1.0,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,10.0,,,,,7.0,,,6.0,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,90,5.0,,,,,,,1.0,,,,,,4.0,1.0,9.0,,,,6.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,9.0,,9.0,,,,,16.0,,,23.0,,,,,,,,,,,,,3.0,,,,
de_lit-ud-test,1920,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
da_ddt-ud-train,4383,0,155,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
da_ddt-ud-test,565,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,261,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-test,419,0,47,,1.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,8,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,3.0,,,,,,,,,1.0,,,,,,,,
hyw_armtdp-ud-train,5282,0,40,,,,,,,,,,,1.0,,,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,4.0,,,,,7.0,,,15.0,,,,,,,,,,,,,,,1.0,,
ro_rrt-ud-test,729,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,238,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,225.0,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,
ro_rrt-ud-dev,752,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
