Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,aux,case,ccomp,compound,conj,cop,csubj,csubj:cop,dep,det,fixed,flat,flat:name,nmod,nsubj,nummod,obj,obl,obl:arg,obl:tmod,orphan,parataxis,root
ta_mwtt-ud-test,534,0,11,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
ta_ttb-ud-dev,80,0,3,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,
krl_kkpp-ud-test,228,0,2,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
eu_bdt-ud-train,5396,0,383,,,1.0,21.0,,5.0,,,1.0,20.0,1.0,,,1.0,22.0,,12.0,,12.0,,1.0,,283.0,,,3.0,,
eu_bdt-ud-test,1799,0,148,,,,8.0,,,,,,8.0,,,,1.0,8.0,,10.0,,6.0,,,,107.0,,,,,
eu_bdt-ud-dev,1798,0,128,,,,16.0,,,,,1.0,3.0,,,,,11.0,,4.0,,4.0,,,,89.0,,,,,
fi_ftb-ud-dev,1875,0,9,,,,,,,,,,2.0,,,,,,,,,6.0,,1.0,,,,,,,
fi_ftb-ud-train,14981,0,78,2.0,,,9.0,,,,,,6.0,,,,,4.0,,,,49.0,,2.0,,,,,,,6.0
fi_ftb-ud-test,1867,0,8,1.0,,,1.0,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,
bxr_bdt-ud-test,908,0,106,1.0,,1.0,2.0,,,,,1.0,8.0,,,,,,1.0,8.0,,55.0,2.0,,9.0,11.0,,,,1.0,6.0
bej_nsc-ud-test,380,0,21,,,,,,,,,,,,,,8.0,,,,,,,,,,13.0,,,,
