Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,amod,appos,aux,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,dep,dep:aux,discourse,dislocated,fixed,iobj,list,mark,nmod,nmod:poss,nsubj,obj,obl,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
ha_southernautogramm-ud-test,1918,0,384,,15.0,5.0,12.0,,,255.0,,1.0,,,,,2.0,59.0,,,1.0,,,,3.0,,,,,,,,,1.0,,,10.0,20.0,
nhi_itml-ud-test,909,0,100,6.0,,9.0,,,,,,5.0,,,,,3.0,,4.0,,,,,,,,,,,,,,,15.0,,,,57.0,1.0
ha_northernautogramm-ud-test,400,0,133,,7.0,3.0,9.0,,,84.0,,,,,,,4.0,19.0,,,,,,,,,,,,,,,,,,,1.0,6.0,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
azz_itml-ud-test,1260,0,46,,4.0,6.0,,,,,,4.0,,,,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,6.0,,,,20.0,
qtd_sagt-ud-test,805,0,324,2.0,,15.0,,,,,,15.0,,,2.0,,82.0,,,,,,,1.0,,,,,,,,,,58.0,4.0,5.0,2.0,130.0,8.0
qtd_sagt-ud-dev,801,0,203,4.0,,7.0,,,,,,14.0,,,,,37.0,,,,,,,5.0,,,,,,,,,,22.0,3.0,1.0,3.0,105.0,2.0
qtd_sagt-ud-train,578,0,204,1.0,,12.0,,,,,,10.0,,,,,71.0,,,,,,,2.0,,,,,,,,,,21.0,1.0,2.0,3.0,81.0,
eu_bdt-ud-train,5396,0,2937,200.0,,212.0,,,14.0,56.0,,156.0,1.0,,,,266.0,992.0,4.0,,8.0,,,,,5.0,,,5.0,,11.0,1.0,5.0,,,,,999.0,2.0
eu_bdt-ud-test,1799,0,967,72.0,,74.0,,,1.0,16.0,,43.0,,,,,88.0,348.0,1.0,,1.0,,,,,,,1.0,1.0,,5.0,2.0,2.0,1.0,,,,311.0,
eu_bdt-ud-dev,1798,0,914,59.0,,67.0,,,4.0,19.0,,45.0,,,,,78.0,323.0,2.0,,2.0,,,,,2.0,,1.0,,,1.0,4.0,,,,,,305.0,2.0
tr_tourism-ud-train,15473,0,957,,,5.0,,,,,,3.0,3.0,,,,26.0,,,,,,,,,,,,,,,,5.0,86.0,,,,829.0,
tr_tourism-ud-dev,2166,0,128,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,12.0,,,,114.0,
tr_tourism-ud-test,2191,0,93,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,83.0,
tr_imst-ud-train,3435,0,798,,,12.0,,,,,,30.0,73.0,38.0,,,112.0,,1.0,,,,,1.0,,,,,15.0,3.0,,6.0,1.0,9.0,,,,497.0,
tr_imst-ud-dev,1100,0,259,,,4.0,,,,,,11.0,21.0,8.0,,,39.0,,,,,,,,,,,,1.0,,,,,1.0,,,,174.0,
tr_imst-ud-test,1100,0,304,,,6.0,,,,,,17.0,27.0,15.0,,,52.0,,,,,,,,,,,,5.0,,,1.0,,3.0,,,,178.0,
bxr_bdt-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
bxr_bdt-ud-test,908,0,11,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,4.0,
tr_boun-ud-dev,979,0,187,1.0,,6.0,,,,1.0,,6.0,9.0,7.0,,,42.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,112.0,
tr_boun-ud-test,979,0,233,,,5.0,,,,1.0,,10.0,11.0,14.0,1.0,,47.0,,,,,,,,,,,,,,,,1.0,3.0,,,,140.0,
tr_boun-ud-train,7803,0,483,3.0,,255.0,,,,3.0,,4.0,32.0,31.0,3.0,,36.0,3.0,,,,,,,,,,,27.0,,,4.0,5.0,3.0,,,,74.0,
tr_penn-ud-dev,622,0,99,,,,,,,,,6.0,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,87.0,1.0
tr_penn-ud-test,924,0,215,,,2.0,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,14.0,,,,192.0,1.0
tr_penn-ud-train,14850,0,3658,2.0,,34.0,,,3.0,,2.0,126.0,3.0,,,,163.0,,2.0,,,,1.0,,,,3.0,,5.0,,,1.0,6.0,110.0,,,,3188.0,9.0
