Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:tmod,amod,amod:att,amod:flat,appos,ccomp,compound,compound:nn,compound:redup,conj,conj:expl,csubj,csubj:cop,csubj:relcl,dep,det,discourse,dislocated,fixed,flat,flat:frac,flat:name,flat:range,flat:sibl,flat:title,iobj,list,nmod,nmod:arg,nmod:att,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,obl:inst,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
es_gsd-ud-dev,1400,0,91,,,,,,,,,87.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,927,,,,1.0,,,,,885.0,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,9.0,,,,,,12.0,,,,,3.0,7.0,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,63,,,,,,,,,23.0,,,,,,,,,,,,,,1.0,,,,7.0,,1.0,,,,,,4.0,,,,,,1.0,,,,,,24.0,,,,,,,,,,,,1.0,,1.0,,,
de_hdt-ud-test,18459,0,460,,,,5.0,,,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,
de_hdt-ud-train,153035,0,3970,,1.0,,37.0,,,,,3835.0,,,5.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,14.0,,,,,,16.0,,,2.0,,5.0,23.0,,,,,,,,,,,,,,27.0,,2.0,
de_hdt-ud-dev,18434,0,444,,,,2.0,,,,,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,5.0,,,
sga_dipsgg-ud-test,64,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_porttinari-ud-train,5893,0,265,,,,,,,6.0,,245.0,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,1.0,,,
pt_porttinari-ud-test,1683,0,76,,,,,,,2.0,,71.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
pt_porttinari-ud-dev,842,0,45,,,,,,,2.0,,40.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
sv_talbanken-ud-dev,504,0,11,,,,,,,,,9.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_talbanken-ud-test,1219,0,39,,,,,,,,,34.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
sv_talbanken-ud-train,4303,0,95,,1.0,,,,,,,63.0,,,,,,,,4.0,,,,,,,,,18.0,,,1.0,,,,,,1.0,,,,,,2.0,,,1.0,,,3.0,,,,,,,,,,,,1.0,,,,,
pl_pdb-ud-test,2215,0,89,,,,,,,,,36.0,,38.0,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,946,,,,1.0,,,,,307.0,,437.0,4.0,,,,,37.0,,,,,,,,,1.0,,,,,,,1.0,,35.0,2.0,,,,,,,,,,,118.0,,1.0,1.0,,,,,,,,1.0,,,,,,
pl_pdb-ud-dev,2215,0,124,,,,,,,,,38.0,,56.0,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,15.0,,,,,,,,,,,1.0,,,,,,
uk_iu-ud-dev,673,0,109,,,,1.0,,,,,63.0,,,3.0,,,,,1.0,,,,,,,,1.0,,,,,5.0,,,,,10.0,,,,,,,,,,,,18.0,,,,,,,,,,,,5.0,,1.0,,,1.0
uk_iu-ud-train,5521,0,544,,,,1.0,,5.0,,,354.0,,,13.0,1.0,2.0,,,7.0,,,,,,,,,,,,,24.0,,3.0,,,29.0,,,,,,8.0,,,,,7.0,66.0,,,,,,,,,,,2.0,18.0,,3.0,,,1.0
uk_iu-ud-test,898,0,200,,,,,,2.0,,,132.0,,,2.0,,,,,4.0,,,,,,,,,,,,,3.0,3.0,,,,23.0,,,,,,1.0,,,,,1.0,27.0,,,,,,,,,,,,2.0,,,,,
bn_bru-ud-test,56,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_hdtb-ud-train,13306,0,443,,,,,,,,,430.0,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,
hi_hdtb-ud-dev,1659,0,56,,,,,,,,,55.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_hdtb-ud-test,1684,0,57,,,,,,,,,55.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,1550,,3.0,,5.0,,,,,1389.0,,,19.0,3.0,,,,28.0,,,,,3.0,,,,,,,,,,,,,,,,,,,36.0,,,1.0,,19.0,26.0,,4.0,,,,,,,,,,,,11.0,,3.0,
es_ancora-ud-test,1721,0,192,,1.0,,1.0,,,,,174.0,,,4.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,218,,,,,,,,,196.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,5.0,,,,,,,,,,,,,,2.0,,,
hr_set-ud-dev,960,0,128,,,,,,,,,105.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,1.0,6.0,,,,,,,,,,,,7.0,,,,,,,,,,,,2.0,,,,,
hr_set-ud-train,6914,0,882,,,,,,,,,767.0,,,,,,,,38.0,,,,,,,,,,3.0,,,,,,,,30.0,,,,,,,,,,,,35.0,,,,,,,,,,,2.0,7.0,,,,,
hr_set-ud-test,1136,0,163,,,,,,,,,142.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,
orv_rnc-ud-dev,943,0,218,,,,,,,,,199.0,,,,,,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,4.0,,1.0,,,,,
orv_rnc-ud-train,1868,0,332,,1.0,,,,,,,294.0,,,,,3.0,,,7.0,,,,,,,,,,2.0,,,,,,,,7.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,10.0,,,,4.0,,,
orv_rnc-ud-test,717,0,117,,,,,,,,,91.0,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,12.0,,,,,,,,,,1.0,,,,5.0,,,
cpg_tuecl-ud-test,350,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,48,,,,,,7.0,4.0,7.0,24.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,
he_iahltwiki-ud-train,4298,0,343,,,,,,,,,314.0,,,2.0,,2.0,,,12.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,6.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,
he_iahltwiki-ud-dev,348,0,22,,,,,,,,,18.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he_iahltwiki-ud-test,393,0,16,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,18,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,5,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-test,635,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_atis-ud-train,4274,0,5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,12,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,46,,,,1.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,5.0,,,,,,,,,,,,,,1.0,,3.0,
tr_kenet-ud-dev,1646,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,38,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,28.0,1.0,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,5,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,52,,,,,,,,,46.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
sk_snk-ud-test,1061,0,49,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,
sk_snk-ud-train,8483,0,222,,,,,,,,,186.0,,,,,,,,8.0,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,12.0,,1.0,,,,,,,,,,,,4.0,,6.0,
frm_profiterole-ud-test,512,0,8,,,,,,,,,6.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,3,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,168,,,,,,,,,130.0,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,2.0,,,4.0,1.0,9.0,,,,,,,,,,,,12.0,,3.0,,,
et_ewt-ud-test,913,0,94,,,,,,,,,76.0,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,8.0,
et_ewt-ud-dev,833,0,38,,,,,,,,,27.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,
yo_ytb-ud-test,318,0,8,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-dev,449,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,14,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,83,,2.0,,,,,7.0,,68.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
orv_ruthenian-ud-test,390,0,36,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,477,,,,,,,,,452.0,,,,,,,,2.0,,,,,,,,,,17.0,,,,,,,1.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,11,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_gumreddit-ud-train,686,0,18,,,,,,,8.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_gumreddit-ud-test,105,0,4,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,45,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,20,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,17.0,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,1.0,,,
ro_nonstandard-ud-test,1052,0,41,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,13.0,1.0,,,,20.0,,1.0,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,54,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,35.0,,5.0,,,,,,,,,,,,1.0,,4.0,,,
ro_nonstandard-ud-train,24121,0,916,,6.0,,1.0,,,,,,,,3.0,2.0,,,,23.0,,1.0,,,,,,,,,,,,,,1.0,,4.0,,,,,136.0,85.0,,,1.0,592.0,13.0,21.0,,,,,,,,,4.0,,,,,20.0,,3.0,
ro_simonero-ud-test,491,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,385,,,,,,,,,5.0,,,,,,,,21.0,,,,,,,,,16.0,2.0,,,,,,,,7.0,,,,,,3.0,,,,328.0,,,,,,,,,,,,,,1.0,,2.0,,,
ro_simonero-ud-dev,443,0,37,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,285,,,1.0,3.0,,,,,205.0,,,4.0,,,,,7.0,,,,,,,,,,,,,,,,,,6.0,,,,,,9.0,,,1.0,28.0,,10.0,1.0,,,,,,,,,,,7.0,,2.0,,1.0,
pt_petrogold-ud-test,1039,0,22,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,34,,,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,2.0,,3.0,,,
pt_gsd-ud-dev,1204,0,20,,,,,,,,,12.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,19,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
pt_gsd-ud-train,9616,0,183,,,,1.0,,,,,150.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,6.0,,,,,,3.0,,,,,2.0,16.0,,,,,,,,,,,,,,1.0,,,
si_stb-ud-test,100,0,4,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,19,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,3.0,,,
lt_alksnis-ud-dev,617,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,98,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,71.0,,4.0,,1.0,,,,,,,,,,9.0,,4.0,,,
vi_tuecl-ud-test,100,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_beginner-ud-test,2295,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,6,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
it_old-ud-train,1748,0,100,,,,1.0,1.0,,,12.0,63.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,4.0,,1.0,,,,4.0,,,,3.0,,1.0,,2.0,,,
it_old-ud-dev,316,0,15,,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
it_old-ud-test,338,0,20,,,,2.0,,,,1.0,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,84,,,,,,,,,80.0,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,11,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,36,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
mdf_jr-ud-test,454,0,18,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,
vep_vwt-ud-test,103,0,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,178,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,31.0,,,,,,,,2.0,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,227,,,,,,,,,126.0,,,,,,,,1.0,,,,,,,,,,52.0,,,,,,,,1.0,,,,,,,,,6.0,,,41.0,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,2053,,,,,,,,,1180.0,,,,,,,,19.0,,,,,,,,,,535.0,,,,,,,,21.0,,,,,,,,,1.0,,,297.0,,,,,,,,,,,,,,,,,
en_atis-ud-test,586,0,60,,,,,,,,,50.0,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
en_atis-ud-train,4274,0,428,,,,,,,1.0,,369.0,,,,,45.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,2.0,,,,,,,
en_atis-ud-dev,572,0,60,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,47,,1.0,,,,,,,44.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,966,,,1.0,,,,,,471.0,,,1.0,,3.0,1.0,,28.0,,,,,,,,,,17.0,,61.0,,,,,,65.0,,,,3.0,,1.0,4.0,,,,1.0,274.0,,,,,,,,,,,7.0,,,16.0,,12.0,
fi_tdt-ud-test,1555,0,89,,,,,,,,,53.0,,,1.0,,,,,,,,,,,,,,,1.0,,5.0,,,,,,2.0,,,,,,,,,,,,26.0,,,,,,,,,,,,,,1.0,,,
fi_tdt-ud-dev,1364,0,98,,,,,,,,,58.0,,,,,2.0,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,4.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
