Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmpr,advcl:cond,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:ex,aux:pass,case,cc,cc:preconj,ccomp,ccomp:cleft,ccomp:obj,ccomp:pmod,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:emph,cop:own,csubj,csubj:pass,dep,det,det:numgov,discourse,dislocated,fixed,flat,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:arg,nmod:comp,nmod:flat,nmod:npmod,nmod:part,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:pmod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:pred
ro_simonero-ud-test,491,0,652,,,,,,,,,26.0,,,,,,,,,,520.0,,,,,,,,,,,2.0,,,,,,,,,,,29.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,3963,,,,,,,,,197.0,,,,,,,,,1.0,3492.0,16.0,,,,,,1.0,,,,27.0,,,,,,,,,,,226.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,501,,,,,,,,,32.0,,,,,,,,,,440.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,22,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
mr_ufal-ud-test,47,0,17,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,98,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,
ro_tuecl-ud-test,210,0,230,,,,,,,,,14.0,,,,,,,,,1.0,105.0,6.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,1731,,234.0,37.0,199.0,,,,,1.0,,,,2.0,,,,,,,,89.0,,,,,,,,,277.0,102.0,,,51.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,469.0,,210.0,
lt_alksnis-ud-dev,617,0,1740,,292.0,70.0,218.0,,,,,1.0,,,,5.0,,,,,,,,70.0,,,,,,,,,222.0,129.0,,,62.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,425.0,,223.0,
lt_alksnis-ud-train,2341,0,6547,2.0,1275.0,199.0,759.0,,,,,,,,,20.0,,,,,,,,206.0,,,,,,,,,1043.0,453.0,,,226.0,4.0,7.0,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,152.0,,,,,1508.0,,685.0,
vi_tuecl-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,2571,,265.0,32.0,115.0,,,5.0,,,,,,10.0,835.0,,,,,,,43.0,,,,,,,1.0,2.0,246.0,342.0,,,57.0,5.0,,,,17.0,,,,,,,,,4.0,,,,1.0,,44.0,,1.0,,,,1.0,45.0,,,,,,4.0,15.0,,,,,334.0,,147.0,
hy_bsut-ud-test,595,0,1370,,126.0,16.0,73.0,,,4.0,,,,,,1.0,438.0,,1.0,,,,,19.0,,,,,,,,3.0,148.0,169.0,,,32.0,2.0,,,,6.0,,,,,,,,,2.0,,,,1.0,,19.0,,1.0,,,,3.0,34.0,,,,,,,18.0,,,,,162.0,,92.0,
hy_bsut-ud-dev,479,0,1314,,161.0,19.0,69.0,,,4.0,,,,1.0,,2.0,431.0,,,,,,,24.0,,,,,1.0,,,1.0,102.0,153.0,,,32.0,4.0,,,,6.0,,,,,,,,,,,,,3.0,,44.0,,2.0,,,,2.0,25.0,,,,,,1.0,8.0,,,,,122.0,,97.0,
tr_framenet-ud-test,205,0,230,,,,7.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,30.0,,,,,181.0,,,
tr_framenet-ud-train,2288,0,2548,,2.0,,92.0,,,,,,,,,,,,,,,,,9.0,,,,,37.0,,,,46.0,,,,,,,,,6.0,,,,,,,,,3.0,,,,,,,,,,,,2.0,5.0,,,,,,,265.0,,,,,2081.0,,,
tr_framenet-ud-dev,205,0,229,,,,6.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,25.0,,,,,187.0,,,
bm_crb-ud-test,1026,0,1251,,21.0,,57.0,,,,,,,,,,715.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,106.0,,45.0,,1.0,288.0,,3.0,
ky_ktmu-ud-train,80,0,137,,16.0,,19.0,,,,,,,,,,,,,,,,,15.0,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,72.0,,,
ky_ktmu-ud-test,701,0,1225,,104.0,,164.0,,,,,,,5.0,,,,,,,,,,197.0,,,,,42.0,,,9.0,4.0,,,,2.0,,,,,,,4.0,,,,,,,38.0,,,,,,,,18.0,,,,8.0,8.0,,,,,,,17.0,,,,,605.0,,,
tr_gb-ud-test,2880,0,12,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,
fr_gsd-ud-train,14450,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_isdt-ud-train,13121,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
ro_art-ud-test,50,0,32,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,6210,4.0,26.0,135.0,57.0,,,,,52.0,10.0,1882.0,,5.0,3.0,,,32.0,1.0,3.0,,10.0,,,,,,,,,724.0,135.0,,,20.0,1.0,33.0,,,,,68.0,,,,,,,1339.0,,,,,,,,278.0,104.0,,,226.0,513.0,,161.0,,,,3.0,17.0,,,,,261.0,,107.0,
cs_cltt-ud-train,467,0,7196,3.0,27.0,137.0,60.0,,,,,67.0,7.0,1957.0,,59.0,6.0,,,27.0,1.0,3.0,,15.0,,,,,,,,,981.0,126.0,,,12.0,,45.0,,,,,101.0,,,,,,,1631.0,,,,,,,,352.0,117.0,,,273.0,534.0,,203.0,,,,5.0,12.0,,,,,387.0,,48.0,
cs_cltt-ud-test,338,0,6501,3.0,20.0,163.0,70.0,,,,,69.0,4.0,2026.0,,8.0,3.0,,,46.0,5.0,7.0,,28.0,,,,,,,,,629.0,121.0,,,22.0,2.0,42.0,,,,,84.0,,,,,,,1174.0,,,,,,,,361.0,122.0,,,308.0,516.0,,249.0,,,,4.0,25.0,,,,,272.0,,118.0,
tl_trg-ud-test,128,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
hy_armtdp-ud-train,1974,0,5525,,595.0,58.0,340.0,,,,,,,3.0,,9.0,1850.0,1.0,,,,,,112.0,,,,,8.0,2.0,,10.0,571.0,731.0,,,109.0,6.0,,,,1.0,,1.0,1.0,,,,3.0,,6.0,,,,10.0,,53.0,,11.0,1.0,,,6.0,93.0,,,,,,,100.0,,,,,538.0,,296.0,
hy_armtdp-ud-dev,249,0,735,,76.0,5.0,41.0,,,,,,,,,1.0,246.0,,2.0,,,,,9.0,,,,,,,,,71.0,97.0,,,12.0,2.0,,,,1.0,,2.0,,,,,,,1.0,,,,2.0,,13.0,,3.0,,,,1.0,17.0,,,,,,,18.0,,,,,68.0,,47.0,
hy_armtdp-ud-test,277,0,659,,57.0,5.0,46.0,,,,,,,,,1.0,215.0,,,,,,,16.0,,,,,,,,3.0,77.0,101.0,,,7.0,,,,,,1.0,2.0,,,,,,,,,,,1.0,,9.0,,3.0,,,,2.0,10.0,,,,,,1.0,8.0,,,,,70.0,,24.0,
ota_boun-ud-train,114,0,311,,49.0,,42.0,,,,,,,,,,4.0,,,,,,,17.0,,,,,15.0,42.0,2.0,,46.0,12.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,7.0,,,,,,,,,,,,63.0,,3.0,
ota_boun-ud-test,400,0,987,,171.0,,92.0,,,,,,,,,,13.0,,,,,,,57.0,,,,,39.0,177.0,4.0,,108.0,25.0,,,18.0,,,,,,,,1.0,,,,,,3.0,,,,,,12.0,,2.0,,,,1.0,23.0,,,,,,,4.0,,,,,221.0,,16.0,
ltg_cairo-ud-test,20,0,34,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,7.0,
cs_fictree-ud-dev,1309,0,7074,16.0,39.0,131.0,197.0,,,,,253.0,6.0,750.0,,59.0,277.0,,,9.0,4.0,,,180.0,,,,,,,,,805.0,283.0,,,42.0,3.0,57.0,,,,,1.0,28.0,,,3.0,,,385.0,,,,,,,,661.0,25.0,,,504.0,757.0,,188.0,,,,17.0,9.0,,,,,1104.0,22.0,259.0,
cs_fictree-ud-train,10160,0,56285,99.0,310.0,1127.0,1677.0,,,,,2135.0,50.0,5964.0,,390.0,2338.0,,,107.0,28.0,3.0,,1460.0,,,,,,,,,6414.0,2089.0,,,357.0,18.0,497.0,,,,,16.0,265.0,,,29.0,,,3141.0,,,,,,,,4862.0,159.0,,,4047.0,5871.0,,1749.0,,,,105.0,97.0,,,,,8523.0,225.0,2133.0,
cs_fictree-ud-test,1291,0,6883,11.0,32.0,135.0,228.0,,,,,242.0,2.0,692.0,,44.0,263.0,,,16.0,3.0,1.0,,201.0,,,,,,,,,763.0,261.0,,,44.0,2.0,61.0,,,,,2.0,13.0,,,1.0,,,384.0,,,,,,,,615.0,19.0,,,486.0,708.0,,229.0,,,,15.0,6.0,,,,,1079.0,29.0,296.0,
hyw_armtdp-ud-test,680,0,1987,,146.0,105.0,135.0,,,8.0,,,,,,4.0,260.0,6.0,2.0,,,,,52.0,,,,,,,,2.0,346.0,204.0,,,54.0,1.0,,,,7.0,1.0,3.0,,,,,,,,,,,,,12.0,,2.0,,,,1.0,57.0,,,,,,,42.0,,,,,416.0,,121.0,
hyw_armtdp-ud-dev,694,0,2079,,164.0,119.0,160.0,,,18.0,,,,,,5.0,280.0,,,,,,,54.0,,,,,,,,2.0,369.0,188.0,,,40.0,2.0,,,,8.0,,3.0,1.0,,,,,,,,,,4.0,,20.0,,3.0,,,,3.0,55.0,,,,,,1.0,54.0,,,,,418.0,,108.0,
hyw_armtdp-ud-train,5282,0,14264,,1225.0,605.0,903.0,,,107.0,,,,6.0,,36.0,1769.0,15.0,6.0,,,,,327.0,,,,,,2.0,1.0,29.0,2114.0,1498.0,,,319.0,21.0,,,,37.0,5.0,23.0,,,,2.0,,1.0,6.0,,,,11.0,,229.0,,13.0,1.0,,,26.0,324.0,,,,,,6.0,387.0,,,,,3343.0,,867.0,
ro_rrt-ud-test,729,0,625,,,,,,,,,19.0,,,,,,,,,6.0,432.0,7.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,22.0,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,7836,,,,3.0,,,,,357.0,,,,,,,,,72.0,5324.0,52.0,,,,,,8.0,,,,28.0,,,,1.0,,1.0,,,2.0,,342.0,1.0,,,2.0,,1636.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,5.0,,,
ro_rrt-ud-dev,752,0,669,,,,,,,,,34.0,,,,,,,,,5.0,458.0,7.0,,,,,,,,,,2.0,,,,,,,,,,,38.0,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,4146,,102.0,,72.0,,,,,,,,,,1949.0,,,,,,,105.0,,,,,,,,,101.0,963.0,,,19.0,,,,,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,208.0,,,22.0,148.0,447.0,,,
sl_sst-ud-test,1041,0,768,,12.0,,12.0,,,,,,,,,,344.0,,,,,,,16.0,,,,,,,,,15.0,190.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,5.0,31.0,101.0,,,
sl_sst-ud-dev,505,0,678,,18.0,,14.0,,,,,,,,,,322.0,,,,,,,14.0,,,,,,,,,15.0,182.0,,,2.0,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,29.0,,,2.0,19.0,56.0,,,
he_htb-ud-train,5168,0,1187,,7.0,52.0,31.0,,,,,,,,,,,,,,,,,21.0,,,,,,,,,33.0,876.0,,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,90.0,,61.0,
he_htb-ud-dev,484,0,124,,1.0,1.0,2.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,2.0,92.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,10.0,,8.0,
he_htb-ud-test,491,0,176,,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,137.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,21.0,,7.0,
cs_pdt-ud-test,10146,0,91455,260.0,659.0,1657.0,1169.0,,,,,2411.0,106.0,16562.0,,724.0,694.0,,,631.0,97.0,26.0,,1085.0,,,,,,,,,6544.0,2730.0,,,599.0,47.0,1091.0,,,,,270.0,2058.0,,,49.0,,,15845.0,,,,,,,,7929.0,765.0,,,4945.0,8170.0,,2869.0,,,,203.0,215.0,,,,,8999.0,12.0,2034.0,
cs_pdt-ud-dev,9270,0,84423,272.0,644.0,1499.0,977.0,,,,,2179.0,111.0,15472.0,,722.0,618.0,,,613.0,70.0,13.0,,991.0,,,,,,,,,6245.0,2366.0,,,584.0,41.0,804.0,,,1.0,,247.0,1975.0,,,60.0,,,14707.0,,,,,,,,7196.0,701.0,,,4556.0,7377.0,,2726.0,,,,223.0,139.0,,,,,8345.0,12.0,1937.0,
cs_pdt-ud-train,68491,0,621716,1953.0,4486.0,10848.0,7045.0,,,,,15691.0,690.0,114370.0,,5372.0,4242.0,,,4303.0,546.0,127.0,,7252.0,,,,,,,,,45745.0,16927.0,,,4260.0,343.0,6883.0,,,,,1863.0,14748.0,1.0,,353.0,,3.0,109638.0,,,,,,,,53499.0,5022.0,,,33066.0,55004.0,,19944.0,,,,1504.0,1353.0,,,,,61339.0,56.0,13240.0,
ta_mwtt-ud-test,534,0,88,,,1.0,15.0,,1.0,,,5.0,,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,
ota_dudu-ud-test,85,0,106,,6.0,,19.0,,,,,,,1.0,,,1.0,,,,,,,3.0,,,,,1.0,6.0,,,12.0,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,43.0,,2.0,
lv_lvtb-ud-test,2412,0,6193,159.0,496.0,,474.0,,,,,,,398.0,,,204.0,,,182.0,,,,480.0,,,,,,,,,979.0,422.0,,,90.0,12.0,20.0,,,30.0,,1.0,,,,12.0,,,4.0,,,,,,,,15.0,1.0,,,12.0,9.0,,,,,,3.0,36.0,,,,,1740.0,,414.0,
lv_lvtb-ud-train,14358,0,41134,502.0,3378.0,,3546.0,,,,,,,2871.0,,,1335.0,,,1340.0,,,,3345.0,,,,,,,,,6050.0,3178.0,,,652.0,88.0,148.0,,,166.0,,4.0,,,1.0,55.0,,,19.0,,,,,,,,66.0,9.0,,,57.0,73.0,,,,,,38.0,255.0,,,,4.0,10964.0,,2990.0,
lv_lvtb-ud-dev,2080,0,5745,106.0,440.0,,451.0,,,,,,,398.0,,,176.0,,,177.0,,,,430.0,,,,,,,,,1001.0,400.0,,,73.0,17.0,16.0,,,19.0,,,,,,15.0,,,3.0,,,,,,,,10.0,1.0,,,12.0,6.0,,,,,,4.0,38.0,,,,3.0,1545.0,,404.0,
ta_ttb-ud-train,400,0,1238,,18.0,1.0,171.0,,,,,,,236.0,,,367.0,,,,,,,59.0,,,,,7.0,,,,6.0,,,,4.0,,,,,,,,,,,,,76.0,6.0,,,,,,,,3.0,,5.0,,1.0,3.0,,1.0,,,,,2.0,,,,,262.0,,10.0,
