Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,advmod:tmod,amod,appos,ccomp,ccomp:relcl,ccomp:reported,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,det,discourse,dislocated:nsubj,flat:redup,list,nmod,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,root,vocative,xcomp
la_perseus-ud-test,939,0,21,,,,,,,1.0,,,15.0,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,
la_perseus-ud-train,1334,0,67,,1.0,,,,,15.0,,,44.0,,,,,2.0,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
it_old-ud-train,1748,0,12,,,,,1.0,,,,,7.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
it_old-ud-dev,316,0,3,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_old-ud-test,338,0,3,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,3,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,269,5.0,,,,,,4.0,,,239.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
es_pud-ud-test,1000,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_valico-ud-test,398,0,11,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
it_pud-ud-test,1000,0,14,,,,,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_cintil-ud-test,3840,0,57,,,,,,,,,,46.0,,1.0,,,,,,,,3.0,,,,,,,2.0,,,,3.0,,,,,,,,,2.0,,
pt_cintil-ud-dev,3840,0,21,,,,,,,,,,19.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
pt_cintil-ud-train,30720,0,46,,,,,,,,,,40.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,
it_isdt-ud-test,482,0,3,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_isdt-ud-train,13121,0,100,,1.0,1.0,,,,17.0,,,57.0,,,,,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,10.0,,1.0
it_isdt-ud-dev,564,0,3,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
mk_mtb-ud-test,155,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,5,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,
da_ddt-ud-train,4383,0,5,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
la_udante-ud-train,926,0,230,3.0,1.0,4.0,1.0,,,85.0,8.0,,69.0,2.0,,,,30.0,1.0,2.0,,,,,,,,,1.0,1.0,,2.0,1.0,10.0,,2.0,,,,,,,4.0,1.0,2.0
la_udante-ud-test,419,0,160,2.0,7.0,3.0,2.0,2.0,,21.0,2.0,,59.0,,3.0,,,19.0,1.0,,1.0,3.0,,3.0,1.0,,,,1.0,6.0,,1.0,2.0,5.0,,4.0,,,2.0,,,,3.0,,7.0
la_udante-ud-dev,376,0,87,2.0,,,,2.0,,11.0,6.0,,48.0,,,,,7.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,6.0,
lij_glt-ud-test,296,0,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-test,153,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-train,1781,0,4,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
hyw_armtdp-ud-test,680,0,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_twittiro-ud-train,1138,0,6,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,
it_markit-ud-test,340,0,12,,,,,,,,,,8.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0
it_markit-ud-train,611,0,5,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
it_markit-ud-dev,341,0,8,,,,,,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,
it_postwita-ud-train,5368,0,74,,,2.0,,,,,,,28.0,,,,,8.0,,,,,,,3.0,,,1.0,,,,,,,,,,,,13.0,,1.0,16.0,,2.0
it_postwita-ud-dev,670,0,3,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
it_postwita-ud-test,674,0,7,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
la_ittb-ud-dev,2101,0,87,1.0,2.0,1.0,,1.0,,28.0,,,22.0,,,,,5.0,,3.0,,3.0,,1.0,,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,11.0,,3.0
la_ittb-ud-test,2101,0,112,,4.0,,,1.0,,43.0,,,25.0,,1.0,1.0,,10.0,1.0,1.0,,,,,,,,,1.0,6.0,,1.0,2.0,2.0,,2.0,,,,,,,7.0,,4.0
la_ittb-ud-train,22775,0,1244,2.0,38.0,28.0,,,,314.0,,,620.0,,2.0,,,39.0,,12.0,,2.0,,11.0,,,,,15.0,20.0,1.0,7.0,8.0,22.0,2.0,16.0,,,1.0,,,,75.0,,9.0
it_vit-ud-train,8277,0,85,,1.0,,,,,5.0,,,62.0,,1.0,,,6.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0
it_vit-ud-test,1067,0,13,,1.0,,,,,2.0,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
it_vit-ud-dev,743,0,3,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,13,,,3.0,,,,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,1.0
eu_bdt-ud-test,1799,0,12,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,1.0
eu_bdt-ud-dev,1798,0,5,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,
it_parlamint-ud-test,375,0,7,,,,,,,2.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_parlamint-ud-train,326,0,6,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,3,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
