Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:manner,advcl:relcl,advcl:tcl,amod,appos,aux,aux:pass,case,ccomp,ccomp:pmod,ccomp:relcl,compound,compound:lvc,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dislocated,dislocated:csubj,fixed,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:pmod,orphan,parataxis,reparandum,root,xcomp
gl_treegal-ud-train,600,0,11,4.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,
gl_treegal-ud-test,400,0,5,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
ro_nonstandard-ud-test,1052,0,6,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
ro_nonstandard-ud-dev,1052,0,8,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
ro_nonstandard-ud-train,24121,0,894,251.0,,174.0,,,,,9.0,,,4.0,1.0,,15.0,3.0,,,,112.0,,31.0,15.0,1.0,,,,,,,,1.0,,,,1.0,,6.0,,266.0,4.0
ro_simonero-ud-train,3747,0,4,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
pt_petrogold-ud-train,7170,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
pt_petrogold-ud-dev,737,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
pt_gsd-ud-train,9616,0,3,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
ro_tuecl-ud-test,210,0,4,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
la_llct-ud-dev,850,0,21,,3.0,4.0,,5.0,,,,,,,2.0,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
la_llct-ud-test,884,0,25,1.0,6.0,3.0,,3.0,,,,,,,3.0,,2.0,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,2.0,1.0,
la_llct-ud-train,7289,0,292,2.0,57.0,40.0,,38.0,,2.0,,,,3.0,32.0,,33.0,,3.0,,,42.0,,12.0,4.0,10.0,,,,1.0,,,,,,,,,,,,13.0,
la_proiel-ud-test,1260,0,94,17.0,,45.0,,,,,,,,,,,2.0,,,,,11.0,,5.0,,,,,1.0,,,,,,,,1.0,,,1.0,,11.0,
la_proiel-ud-dev,1233,0,111,27.0,,41.0,,,,,,,,1.0,4.0,,4.0,,,,,12.0,,4.0,,,,,1.0,,,,,1.0,1.0,,3.0,,,,,12.0,
la_proiel-ud-train,16196,0,1204,268.0,,482.0,,2.0,,,,1.0,,14.0,16.0,,50.0,,,,,112.0,,42.0,3.0,1.0,,1.0,14.0,,1.0,,,18.0,,14.0,2.0,,4.0,6.0,,153.0,
pt_cintil-ud-test,3840,0,20,,,1.0,,,,,,2.0,,,,,4.0,,,,,,,2.0,1.0,,,4.0,,,,,,,,,,,,,,6.0,
pt_cintil-ud-dev,3840,0,4,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,
pt_cintil-ud-train,30720,0,37,,,1.0,,,,,,3.0,,,,,5.0,,,,,,,10.0,,,,2.0,,,,,,,,,,,,1.0,,15.0,
tr_gb-ud-test,2880,0,72,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,66.0,
grc_proiel-ud-test,1047,0,22,3.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,16.0,
grc_proiel-ud-train,15016,0,244,32.0,,35.0,,1.0,,,,,,,,,4.0,,,,,26.0,,,,,,,,,,,,,,2.0,,,,3.0,,140.0,1.0
grc_proiel-ud-dev,1019,0,15,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,8.0,
grc_ptnk-ud-train,727,0,8,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,
grc_ptnk-ud-dev,439,0,4,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,
grc_ptnk-ud-test,410,0,5,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,
pt_bosque-ud-dev,1172,0,6,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,
pt_bosque-ud-test,1167,0,3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,
pt_bosque-ud-train,7018,0,55,,19.0,3.0,,,,,,,,1.0,7.0,,6.0,,,,,5.0,,1.0,,,,,,,,,,,,,,,,1.0,,12.0,
orv_birchbark-ud-train,1045,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
orv_birchbark-ud-dev,1062,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,
orv_birchbark-ud-test,1007,0,4,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
ro_rrt-ud-test,729,0,54,4.0,,6.0,,,,,1.0,,,,2.0,,4.0,2.0,,,,7.0,,,,,,,,,,,,,,,,,,4.0,,22.0,2.0
ro_rrt-ud-train,8043,0,482,77.0,,42.0,,,,,5.0,,1.0,4.0,20.0,,18.0,11.0,,,,77.0,,14.0,11.0,1.0,,,,,,,,,,,,,,4.0,,197.0,
ro_rrt-ud-dev,752,0,53,10.0,,7.0,,,,,1.0,,,,1.0,,6.0,,,,,10.0,,1.0,2.0,,,,,,,,,,,,,,,3.0,,11.0,1.0
cy_ccg-ud-test,953,0,6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,
cy_ccg-ud-train,1189,0,5,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,
nhi_itml-ud-test,909,0,2,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,10,2.0,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,
gl_pud-ud-test,1000,0,54,18.0,,7.0,,,,,,,,1.0,5.0,,9.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,8.0,
azz_itml-ud-test,1260,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
la_ittb-ud-dev,2101,0,5,,,1.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,3,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,212,4.0,33.0,48.0,,2.0,,,,,,2.0,30.0,,6.0,,1.0,,,9.0,1.0,21.0,3.0,4.0,,,,,,,,,,,,,,1.0,,47.0,
qtd_sagt-ud-test,805,0,19,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,13.0,
qtd_sagt-ud-dev,801,0,24,,,1.0,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,13.0,
qtd_sagt-ud-train,578,0,14,,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,8.0,
ab_abnc-ud-test,263,0,6,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
tr_imst-ud-train,3435,0,151,,,2.0,,,,,,,,,,,,,,21.0,5.0,28.0,,,,,,,,,,1.0,1.0,,,,,,,,,93.0,
tr_imst-ud-dev,1100,0,67,,,,,,,,,,,,,,2.0,,,5.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,43.0,
tr_imst-ud-test,1100,0,49,,,,,,,,,,,,,,,,,5.0,,9.0,,,,,,,,,,,,,,,,,,1.0,,34.0,
