Treebank,Number of Sentences,Failures,Total,_,acl,acl:crel,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cond,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:nec,aux:neg,aux:pass,aux:tense,case,cc,ccomp,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:svc,conj,conj:expl,cop,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:ccomp,dislocated:csubj,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,mark,mark:prt,nmod,nmod:poss,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:lmod,obl:pmod,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
kmr_mg-ud-train,20,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmr_mg-ud-test,734,0,126,,5.0,,,14.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,52.0,,,,,,,,,29.0,,8.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,
la_circse-ud-test,1263,0,365,,,,11.0,105.0,,,9.0,,,,,,,4.0,,,,,,,,,,,2.0,,,,12.0,,,6.0,,,,,,118.0,1.0,12.0,,4.0,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,73.0,,
is_pud-ud-test,1000,0,186,,8.0,,5.0,7.0,,,,,,,,,,,,,,,83.0,,,,,,,,,,24.0,,,,,,,,,5.0,,37.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,2.0,,,,9.0,,2.0
grc_perseus-ud-dev,1137,0,97,,6.0,,,53.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,10.0,,,,,,,,,17.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
grc_perseus-ud-train,11476,0,1168,,104.0,,,574.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,81.0,,,,,,,,,165.0,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,199.0,,
grc_perseus-ud-test,1306,0,71,,2.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,7.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
pt_pud-ud-test,1000,0,60,,1.0,,5.0,9.0,,,,,,,,,,,,,,,15.0,,,,,,4.0,,,,15.0,,,,,,,,,2.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,
la_perseus-ud-test,939,0,270,,5.0,,20.0,114.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,19.0,,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,44.0,,
la_perseus-ud-train,1334,0,467,,5.0,,31.0,188.0,,,5.0,,,,,,,,,,,,3.0,,,,,,3.0,,,,55.0,,,,,,,,,49.0,,28.0,,19.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,79.0,,
say_autogramm-ud-test,1864,0,199,,,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,
egy_ujaen-ud-test,721,0,189,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,
en_gumreddit-ud-test,105,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyq_aha-ud-test,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,100,,,,1.0,3.0,,,,,,,,,,,,,,,70.0,,,,,,1.0,,,,6.0,,,,,,,,,1.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
gl_treegal-ud-train,600,0,102,,21.0,,,16.0,,,,,,,,,,,,,,,9.0,,,,,,3.0,,1.0,,22.0,,,,,,,,,7.0,,13.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,
gl_treegal-ud-test,400,0,70,,14.0,,,8.0,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,16.0,,,,,,,,,10.0,,8.0,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
ro_nonstandard-ud-test,1052,0,346,,15.0,,,99.0,,,,,,,,,,,1.0,,,2.0,3.0,,,,,,3.0,,,,60.0,5.0,,,,,,,,69.0,,15.0,,17.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,33.0,,9.0
ro_nonstandard-ud-dev,1052,0,246,,14.0,,,90.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,40.0,,,,,,,,,35.0,,18.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,14.0,,3.0
ro_nonstandard-ud-train,24121,0,10501,,366.0,,,3173.0,,,,,,,,,,,13.0,,,4.0,116.0,,,,,,72.0,,1.0,,1664.0,19.0,,,,,,,,1830.0,,572.0,,385.0,,,17.0,,,,,,,,,,,,,1.0,,,3.0,,1.0,,,,3.0,2.0,,1.0,1.0,167.0,,,,1526.0,,564.0
ro_simonero-ud-test,491,0,30,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,3.0,,4.0,,,,,,,,,,,,1.0,,,,,14.0,,,,,,,,,,,,,,,,,,,2.0
ro_simonero-ud-train,3747,0,530,,10.0,,,30.0,,,,,,,,,,,,,,,6.0,,,,,,26.0,,,,60.0,8.0,,,,,,,,12.0,,31.0,,49.0,,,,,,,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,1.0,,14.0
ro_simonero-ud-dev,443,0,52,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,1.0,,5.0,,1.0,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,4.0
sq_tsa-ud-test,60,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
pt_petrogold-ud-train,7170,0,385,,2.0,,43.0,70.0,,,,,,,,,,,,,,,14.0,,,,,,53.0,,,,35.0,,,,,,,,,12.0,,58.0,,22.0,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,2.0,,
pt_petrogold-ud-test,1039,0,96,,,,5.0,28.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,11.0,,,,,,,,,1.0,,23.0,,5.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,55,,1.0,,7.0,9.0,,,,,,,,,,,,,,,2.0,,,,,,3.0,,1.0,,6.0,,,,,,,,,2.0,,10.0,,2.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,2.0,,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
mr_ufal-ud-train,373,0,8,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,1.0
pt_gsd-ud-dev,1204,0,11,,,,1.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,11,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
pt_gsd-ud-train,9616,0,108,,2.0,,7.0,33.0,,,,,,,,,,,,,,,4.0,,,,,,15.0,,,,18.0,,,,,,,,,7.0,,12.0,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,
ro_tuecl-ud-test,210,0,140,,2.0,,,6.0,,,,,,,,,,,2.0,,,,1.0,,,,,,3.0,,,,16.0,,,,,,,,,3.0,,8.0,,2.0,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,1.0,,,,1.0,,3.0
ar_padt-ud-dev,909,0,157,,7.0,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,14.0,,7.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,1.0
ar_padt-ud-train,6075,0,1013,2.0,56.0,,3.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,276.0,,,,,,,,,103.0,,59.0,,228.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,7.0,,1.0
ar_padt-ud-test,680,0,131,,7.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,12.0,,7.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,
cu_proiel-ud-train,18327,0,118,,1.0,,,2.0,,,,,,,,,,,,,,,107.0,,,,,,1.0,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-test,2096,0,6,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,14,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_old-ud-train,1748,0,601,,1.0,,56.0,163.0,,,6.0,,,,,,,8.0,,,,,35.0,,,,,,19.0,,,,107.0,,,,18.0,,,,,31.0,,65.0,,60.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,13.0,,,,15.0,,2.0
it_old-ud-dev,316,0,133,,1.0,,12.0,47.0,,,1.0,,,,,,,,,,,,11.0,,,,,,1.0,,,,18.0,,,,6.0,,,,,5.0,,20.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2.0,,1.0
it_old-ud-test,338,0,122,,,,10.0,39.0,,,1.0,,,,,,,2.0,,,,,11.0,,,,,,8.0,,,,14.0,,,,1.0,,,,,8.0,,14.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,
hy_bsut-ud-train,1226,0,173,,9.0,,4.0,35.0,,,,,,,,,,1.0,,,,3.0,1.0,,,,,,,,,,17.0,,,,,,,,1.0,34.0,,,,5.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,40.0,,6.0
hy_bsut-ud-test,595,0,59,,1.0,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,13.0,,,,3.0,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,12.0,,2.0
hy_bsut-ud-dev,479,0,71,,5.0,,3.0,11.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,11.0,,,,2.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,20.0,,2.0
mdf_jr-ud-test,454,0,37,,,,,6.0,,,,,,,,,,,1.0,,,,,,,2.0,,4.0,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,
la_llct-ud-dev,850,0,196,,1.0,,28.0,19.0,,,5.0,,,,,,,,,,,,,,,,,,6.0,,,,13.0,,,,,,,,,32.0,,5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,77.0,,
la_llct-ud-test,884,0,190,,,,29.0,13.0,,,2.0,,,,,,,,,,,,1.0,,,,,,4.0,,,,9.0,,,,,,,,,51.0,,5.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,71.0,,
la_llct-ud-train,7289,0,1874,,3.0,,268.0,175.0,,,34.0,,,,,,,8.0,,,,,14.0,,,,,,49.0,,,,140.0,,,11.0,,,,,,385.0,,123.0,,52.0,,,4.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,594.0,,
bor_bdt-ud-test,881,0,85,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,44.0,,,,,,,,,5.0,,,,7.0,,2.0
es_pud-ud-test,1000,0,110,,,,8.0,14.0,,,,,,,,,,,,,,,16.0,,,,,,2.0,,,,28.0,,,,,,,,,2.0,,11.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,19.0
it_valico-ud-test,398,0,17,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,2.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ar_pud-ud-test,1000,0,127,,1.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,5.0,,8.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,23.0
fa_perdt-ud-test,1455,0,57,,1.0,,,3.0,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_perdt-ud-train,26196,0,1264,,15.0,,,18.0,,,,,,,,,,,,,,,1187.0,,,,,,,,,,14.0,,,,,,,,,17.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,,
fa_perdt-ud-dev,1456,0,91,,,,,1.0,,,,,,,,,,,,,,,88.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
myv_jr-ud-test,921,0,27,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,8.0,,,,,,,,,,,,,,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
myv_jr-ud-train,1217,0,45,,,,,1.0,,,,,,,,,,,,,,,2.0,,,4.0,1.0,6.0,,,,,1.0,,,,,,,,,7.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,1.0
bho_bhtb-ud-test,357,0,45,,2.0,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1.0,,,3.0,7.0,,,,,,,,,9.0,,
fr_pud-ud-test,1000,0,30,,,,,4.0,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,,4.0,,,,,,,,,2.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_pud-ud-test,1000,0,103,,2.0,,3.0,8.0,,,,,,,,,,,,,,,29.0,,,,,,14.0,,,,21.0,,,,,,,,,7.0,,12.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
kfm_aha-ud-test,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm_crb-ud-test,1026,0,50,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,451,,31.0,,,165.0,,,1.0,,,,,,,,,,,,11.0,,,,,,10.0,,,,80.0,,,,,,,,,59.0,,43.0,,2.0,,,5.0,,,,,3.0,,,,2.0,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,3.0,,,,30.0,,1.0
la_proiel-ud-dev,1233,0,522,,52.0,,,159.0,,,5.0,,,,,,,,,,,,9.0,,,,,,15.0,,,,84.0,,,,,,,,,62.0,,50.0,,3.0,,,6.0,,,,,2.0,,,,,,,,,,,,,4.0,1.0,,3.0,3.0,,,,2.0,2.0,,,,60.0,,
la_proiel-ud-train,16196,0,6300,,532.0,,,2136.0,,,9.0,,,,,,,,,,,,111.0,,,,,,174.0,,,,963.0,,,,,,,,,798.0,,555.0,,52.0,,,41.0,,,1.0,,29.0,,,,6.0,,,,,,,,,49.0,5.0,,65.0,2.0,,,,58.0,22.0,,,,691.0,,1.0
pt_cintil-ud-test,3840,0,305,,,,,57.0,,,,,,,,,,,,,33.0,,,,,,,,,,,,57.0,,,,,,,,,3.0,,58.0,,22.0,,,,,,27.0,,,,,,,,,,,,,,,,,,6.0,12.0,,,,,7.0,,,,14.0,,9.0
pt_cintil-ud-dev,3840,0,91,,,,,14.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,13.0,,,,,,,,,,,27.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,,,,,4.0
pt_cintil-ud-train,30720,0,492,,,,,91.0,,,,,,,,,,,,,66.0,,,,,,,,,,,,64.0,,,,,,,,,1.0,,152.0,,29.0,,,2.0,,,24.0,,,,,,,,,,,,,,,,,,29.0,28.0,,,,,,,,,3.0,,3.0
fr_gsd-ud-test,416,0,12,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_gsd-ud-train,14450,0,343,,24.0,,8.0,59.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,41.0,51.0,,,60.0,,,,,,,,,13.0,,61.0,,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,
fr_gsd-ud-dev,1476,0,24,,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,4.0,,,,,,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
