Treebank,Number of Sentences,Failures,Total,acl,acl:cont,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:consec,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:quote,advcl:tcl,advmod,amod,appos,aux,aux:nec,aux:neg,aux:opt,aux:pass,case,ccomp,ccomp:rel,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:pass,dep,dep:comp,dep:infl,discourse,dislocated,fixed,flat,iobj,list,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
got_proiel-ud-test,1029,0,225,9.0,,,65.0,,,,,,,,,,,,,,,,,,,,44.0,,,,,37.0,,,,,,,,1.0,,,,,,,,1.0,2.0,,4.0,,,,,62.0,
nhi_itml-ud-test,909,0,42,,,,8.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,4.0,,,,6.0,
arr_tudet-ud-test,674,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
kk_ktb-ud-test,1047,0,29,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,11.0,
kk_ktb-ud-train,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ta_mwtt-ud-test,534,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ota_dudu-ud-test,85,0,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
azz_itml-ud-test,1260,0,8,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,
qtd_sagt-ud-test,805,0,45,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,11.0,11.0,1.0,1.0,10.0,3.0
qtd_sagt-ud-dev,801,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,4.0,8.0,,,9.0,2.0
qtd_sagt-ud-train,578,0,30,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,11.0,,,8.0,2.0
fi_ftb-ud-train,14981,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,
tr_tourism-ud-train,15473,0,10,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,
tr_tourism-ud-dev,2166,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_tourism-ud-test,2191,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_imst-ud-train,3435,0,92,,,,11.0,,,,,,,,,,,,,,,,,,,2.0,4.0,,14.0,4.0,11.0,15.0,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,24.0,
tr_imst-ud-dev,1100,0,28,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,4.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,14.0,
tr_imst-ud-test,1100,0,20,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,8.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,4.0,
bej_nsc-ud-test,380,0,16,,,3.0,1.0,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,17,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,7.0,
tr_boun-ud-test,979,0,26,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,9.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,7.0,
tr_boun-ud-train,7803,0,118,1.0,,,14.0,,,,,,,,,,,,1.0,,,,,,,,11.0,,9.0,2.0,12.0,24.0,,,,,,,10.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,29.0,
tr_penn-ud-dev,622,0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_penn-ud-train,14850,0,33,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,4.0,,5.0,,,,,,,,,,,,,1.0,1.0,,3.0,,,,3.0,1.0,,2.0,,,,9.0,
