Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advmod,amod,appos,aux,aux:neg,aux:pass,case,ccomp,compound,compound:svc,conj,cop,csubj,csubj:cop,csubj:pass,dep,det,discourse,dislocated,fixed,flat:foreign,iobj,nmod:poss,nsubj,obj,obl,orphan,parataxis,punct,root,xcomp
is_gc-ud-train,3960,0,1295,,,,96.0,83.0,2.0,,,9.0,,,1.0,100.0,,,175.0,186.0,,,,32.0,,,,,,2.0,,27.0,55.0,51.0,,,,368.0,108.0
is_gc-ud-dev,500,0,200,,,,16.0,6.0,,,,,,,,16.0,,,40.0,42.0,,,,3.0,,,,,,1.0,,1.0,13.0,3.0,,,,49.0,10.0
et_edt-ud-dev,3128,0,307,,4.0,,3.0,37.0,,7.0,,3.0,,,,8.0,1.0,,29.0,17.0,,,,,,,,,,,,,,,,3.0,,36.0,159.0
et_edt-ud-train,24615,0,2594,6.0,39.0,,43.0,308.0,,64.0,1.0,17.0,,,,67.0,10.0,,206.0,130.0,4.0,1.0,,1.0,,,,,,,,,,2.0,2.0,21.0,,332.0,1340.0
et_edt-ud-test,3214,0,369,3.0,8.0,,5.0,54.0,,1.0,,1.0,,,,10.0,3.0,,35.0,22.0,1.0,,,,,,,,,,,,,,,4.0,,44.0,178.0
sv_pud-ud-test,1000,0,221,,2.0,1.0,47.0,37.0,,1.0,,1.0,,2.0,,13.0,,,13.0,15.0,3.0,,,,,,1.0,,,,,,,,,4.0,,75.0,6.0
is_icepahc-ud-dev,4865,0,1652,,51.0,,268.0,180.0,7.0,18.0,,33.0,,,,314.0,,,287.0,140.0,,,,73.0,,,,,,,,1.0,,57.0,,1.0,,213.0,9.0
is_icepahc-ud-train,34007,0,6256,,278.0,,951.0,647.0,23.0,51.0,1.0,80.0,,,3.0,1153.0,,,909.0,461.0,,,,265.0,1.0,1.0,,,,1.0,1.0,8.0,20.0,208.0,,6.0,4.0,1132.0,52.0
is_icepahc-ud-test,5157,0,1454,,39.0,,251.0,178.0,1.0,12.0,2.0,18.0,,,,276.0,,,213.0,117.0,,,,64.0,1.0,,,,,,1.0,2.0,1.0,31.0,,2.0,,233.0,12.0
is_modern-ud-dev,394,0,110,,5.0,,12.0,6.0,,,,3.0,,,,21.0,,,14.0,14.0,,,,,,,,,,,,,1.0,7.0,,2.0,,22.0,3.0
is_modern-ud-train,2703,0,813,,17.0,,110.0,47.0,,7.0,,16.0,,,,151.0,,,110.0,123.0,,,,26.0,,,,,,,,,,34.0,,7.0,,159.0,6.0
is_modern-ud-test,438,0,128,,3.0,,19.0,6.0,,2.0,,1.0,,,,16.0,,,22.0,18.0,,,,5.0,,,,,,,,,,2.0,,1.0,,33.0,
sme_giella-ud-train,2257,0,5,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
sme_giella-ud-test,865,0,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,4.0,28.0
sl_sst-ud-test,1041,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0
sl_sst-ud-dev,505,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
xum_ikuvina-ud-test,133,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
orv_torot-ud-test,2955,0,15,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,9,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
orv_torot-ud-train,20480,0,61,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
