Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:lcl,advcl:tcl,advmod,advmod:cau,advmod:eval,advmod:lmod,advmod:tmod,amod,appos,aux,case,ccomp,compound,compound:preverb,compound:prt,conj,cop,cop:own,csubj,csubj:cop,dep,det,discourse,expl,fixed,flat,flat:foreign,flat:name,mark,nmod,nmod:att,nmod:gobj,nmod:lmod,nmod:obl,nsubj,nsubj:cop,nummod,obj,obl,obl:agent,obl:cmp,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds
si_stb-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
lt_alksnis-ud-test,684,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,47,,,,2.0,,,,,,,,4.0,,,1.0,3.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,26.0,,,,,,,,,1.0,,7.0,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,63,,,,1.0,,2.0,1.0,1.0,,3.0,1.0,,,,13.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,8.0,,3.0,26.0,,1.0,,,,,,,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
vep_vwt-ud-test,103,0,32,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,20.0,,,,,,,,,1.0,,6.0,
fi_tdt-ud-train,12217,0,5022,1.0,159.0,4.0,14.0,,,1.0,,,,,465.0,33.0,2.0,1.0,8.0,1.0,,2.0,273.0,13.0,,,,,164.0,,,,1.0,1.0,11.0,,481.0,,,,,,,57.0,2.0,2603.0,,,,,,21.0,3.0,,42.0,,461.0,198.0
fi_tdt-ud-test,1555,0,616,,13.0,,3.0,,,,,,,,60.0,2.0,,,1.0,,,,39.0,3.0,,,,,18.0,,,,,,,,56.0,,,,,1.0,,5.0,2.0,319.0,,,,,,,,,8.0,,59.0,27.0
fi_tdt-ud-dev,1364,0,538,,18.0,3.0,,,,,,,,,46.0,,,,,,,,37.0,2.0,,,,,19.0,,,,,,1.0,,44.0,,,,,,,2.0,,287.0,,,,,,5.0,,,4.0,,54.0,16.0
myv_jr-ud-test,921,0,206,,,,1.0,,,2.0,,,3.0,16.0,,4.0,,13.0,,,,,1.0,,,,,,,,,5.0,,,,6.0,1.0,,,,,,1.0,,,122.0,,,24.0,,3.0,2.0,1.0,,,,1.0,
myv_jr-ud-train,1217,0,211,,,,1.0,,,1.0,,,4.0,8.0,,3.0,,12.0,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,142.0,,,27.0,,6.0,,,,1.0,,,
kpv_ikdp-ud-test,214,0,67,,,,,,,5.0,,,1.0,5.0,,,,14.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,30.0,,,8.0,,,,,,1.0,,,
kpv_lattice-ud-test,643,0,240,,,,4.0,1.0,8.0,,,1.0,19.0,2.0,1.0,4.0,,93.0,1.0,,,,4.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,28.0,,,56.0,,8.0,1.0,,,2.0,1.0,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
fi_pud-ud-test,1000,0,497,,8.0,,,,,,,,,,51.0,2.0,,,,,,2.0,23.0,1.0,,,,,18.0,,,2.0,,1.0,7.0,,54.0,,2.0,,,,,7.0,1.0,255.0,,,,,,,,,,,41.0,22.0
et_edt-ud-dev,3128,0,345,,7.0,3.0,12.0,,,,,,,,15.0,,3.0,,8.0,1.0,,,23.0,16.0,,,,,2.0,,,,,,,,12.0,,,,,,,,,84.0,,,,,,,,,34.0,,125.0,
et_edt-ud-train,24615,0,3228,6.0,52.0,40.0,110.0,,,,,,,,121.0,11.0,17.0,,66.0,10.0,,,224.0,128.0,,3.0,1.0,1.0,43.0,,,,,,,,115.0,,,,,,,4.0,,795.0,,,,,,3.0,19.0,,314.0,,1145.0,
et_edt-ud-test,3214,0,414,2.0,11.0,5.0,14.0,,,,,,,,10.0,,1.0,,9.0,3.0,,,37.0,22.0,,,,,2.0,,,,2.0,,,,15.0,,,,,,,,,83.0,,,,,,,3.0,,44.0,,151.0,
koi_uh-ud-train,34,0,2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
koi_uh-ud-test,94,0,28,,,,2.0,,,1.0,,,1.0,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,9.0,,2.0,,,,,,,
sme_giella-ud-train,2257,0,479,,,,2.0,,,,,,,,24.0,1.0,,,,,,,4.0,,,,,,2.0,,,,1.0,,,,27.0,,,,,,,1.0,,417.0,,,,,,,,,,,,
sme_giella-ud-test,865,0,291,,,,2.0,,,,,,,,11.0,3.0,,,,,,,21.0,,,,,,1.0,,,,,,,,10.0,,,,,,,,,242.0,,,,,,,1.0,,,,,
krl_kkpp-ud-test,228,0,97,,,,,,,1.0,,,,,3.0,,,,,2.0,,,8.0,,,,,,6.0,,,,,,,,2.0,,,,,,,,,72.0,,,,,,,,,,,3.0,
fi_ftb-ud-dev,1875,0,371,,8.0,,,,,,,,,,27.0,,1.0,,13.0,,,5.0,17.0,,,,,2.0,12.0,,3.0,,,,,,221.0,,,,,,,4.0,,,,,,,,,,,1.0,,42.0,15.0
fi_ftb-ud-train,14981,0,3366,,98.0,,12.0,,,,,,,,241.0,,,,80.0,,,57.0,116.0,12.0,,,,17.0,108.0,,20.0,2.0,5.0,,,,2013.0,,,,,,,47.0,4.0,,,,,,,,,,44.0,,391.0,99.0
fi_ftb-ud-test,1867,0,432,,15.0,,,,,,,,,,32.0,,,,15.0,,,3.0,13.0,1.0,,,,2.0,24.0,,2.0,1.0,1.0,,,,243.0,,,,,,,4.0,1.0,,,,,,,,,,3.0,,52.0,20.0
