Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:pred,advmod,amod,amod:att,appos,case,cc,compound,compound:lvc,compound:redup,conj,dep,det,expl:pv,fixed,iobj,nmod,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nmod:redup,nsubj,nsubj:cop,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,xcomp
sv_talbanken-ud-dev,504,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
sv_talbanken-ud-test,1219,0,9,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,5.0,,,,,,,
sv_talbanken-ud-train,4303,0,33,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,9.0,19.0,,,,,,,
kmr_mg-ud-test,734,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
no_nynorsk-ud-dev,1890,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,
no_nynorsk-ud-test,1511,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
no_nynorsk-ud-train,14174,0,39,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,14.0,19.0,,,,,,1.0,
orv_rnc-ud-train,1868,0,2,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,4,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
tr_kenet-ud-dev,1646,0,20,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,5.0,9.0,,,,,,,
tr_kenet-ud-test,1643,0,18,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,10.0,5.0,,,,,,,
tr_kenet-ud-train,15398,0,112,1.0,,,,,,,,,,3.0,,,1.0,,,,,4.0,19.0,,,,,,,3.0,,27.0,54.0,,,,,,,
et_ewt-ud-train,5444,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
et_ewt-ud-test,913,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
et_ewt-ud-dev,833,0,10,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,8.0,,,,,,,
de_pud-ud-test,1000,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,
cop_scriptorium-ud-dev,381,0,10,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,
cop_scriptorium-ud-train,1419,0,35,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,29.0,,,,,,,
cop_scriptorium-ud-test,403,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,,,,
si_stb-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
vi_tuecl-ud-test,100,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
cu_proiel-ud-train,18327,0,95,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,22.0,16.0,,7.0,,2.0,,,45.0
cu_proiel-ud-test,2096,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,,,,,3.0
cu_proiel-ud-dev,2205,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,3.0
hy_bsut-ud-train,1226,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,
hy_bsut-ud-test,595,0,2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
hy_bsut-ud-dev,479,0,4,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
mdf_jr-ud-test,454,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
bor_bdt-ud-test,881,0,8,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,5.0,,,,,,,
fi_tdt-ud-train,12217,0,142,,,2.0,,,,,1.0,,,,,,6.0,,63.0,,1.0,,10.0,,,1.0,,10.0,,6.0,10.0,11.0,19.0,,,,,,2.0,
fi_tdt-ud-test,1555,0,14,,,,,,,,,,,,,,,,7.0,,,,,,,,,1.0,,2.0,3.0,1.0,,,,,,,,
fi_tdt-ud-dev,1364,0,29,,,1.0,,,,,,,,,,,,,10.0,,,,2.0,,1.0,,,1.0,,2.0,,3.0,9.0,,,,,,,
myv_jr-ud-test,921,0,6,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,
myv_jr-ud-train,1217,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
tr_framenet-ud-test,205,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,13,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,8.0,,,,,,,
af_afribooms-ud-train,1315,0,6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,
bm_crb-ud-test,1026,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,,,,,,,
ky_ktmu-ud-train,80,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
la_proiel-ud-train,16196,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,
kpv_lattice-ud-test,643,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
tr_gb-ud-test,2880,0,18,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,8.0,5.0,,,,,,,
sv_lines-ud-dev,1032,0,8,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,6.0,,,,,,,
sv_lines-ud-train,3176,0,24,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,9.0,11.0,,,,,,,
sv_lines-ud-test,1035,0,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,
grc_proiel-ud-test,1047,0,14,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,5.0,,5.0,,,,,
grc_proiel-ud-train,15016,0,106,1.0,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,30.0,44.0,2.0,21.0,,,,,
grc_proiel-ud-dev,1019,0,4,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,
nds_lsdc-ud-train,500,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
nds_lsdc-ud-test,500,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
en_gum-ud-train,9521,0,14,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,4.0,7.0,,,,,,,
en_gum-ud-test,1285,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,1.0,
en_gum-ud-dev,1341,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
ru_taiga-ud-train,16045,0,38,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,8.0,11.0,,,,,,,
ru_taiga-ud-test,881,0,4,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,11,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,,,,
en_ewt-ud-test,2077,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
en_ewt-ud-train,12544,0,18,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,8.0,8.0,,,,,,,
hy_armtdp-ud-train,1974,0,22,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,12.0,8.0,,,,,,,
hy_armtdp-ud-dev,249,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,
et_edt-ud-dev,3128,0,7,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,4.0,,,,,,,
et_edt-ud-train,24615,0,41,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,11.0,24.0,,,,,,1.0,
et_edt-ud-test,3214,0,10,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,5.0,,,,,,,
grc_ptnk-ud-train,727,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
grc_ptnk-ud-dev,439,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
nl_lassysmall-ud-test,1761,0,14,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,3.0,2.0,,5.0,,,,,
nl_lassysmall-ud-dev,1542,0,6,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
nl_lassysmall-ud-train,13817,0,81,,,2.0,,,,,,,,,,,,,,,12.0,4.0,3.0,,,,,,,,,18.0,21.0,,20.0,,,,,1.0
de_lit-ud-test,1920,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
ru_poetry-ud-test,728,0,4,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,
ru_poetry-ud-dev,789,0,4,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,
ru_poetry-ud-train,3569,0,12,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,2.0,,,,,,,
da_ddt-ud-train,4383,0,25,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,12.0,11.0,,,,,,,
da_ddt-ud-test,565,0,9,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,4.0,2.0,,,,,,,
da_ddt-ud-dev,564,0,4,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,
la_udante-ud-train,926,0,4,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,
la_udante-ud-test,419,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
la_udante-ud-dev,376,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
hyw_armtdp-ud-test,680,0,10,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,4.0,,,,,,,
hyw_armtdp-ud-dev,694,0,18,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,10.0,5.0,,,,,,,
hyw_armtdp-ud-train,5282,0,55,,,,,,,,,,,,3.0,,1.0,,,,,2.0,,,,,1.0,,,,,23.0,24.0,,,,1.0,,,
sme_giella-ud-train,2257,0,2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
sme_giella-ud-test,865,0,6,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,
got_proiel-ud-train,3387,0,10,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,4.0
cy_ccg-ud-test,953,0,12,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,5.0,1.0,,,,,,,
cy_ccg-ud-dev,409,0,9,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,3.0,,,,,,,,
cy_ccg-ud-train,1189,0,26,,,,,,,,,,,,,,,,,,,,12.0,,,,,,2.0,3.0,,7.0,2.0,,,,,,,
de_gsd-ud-train,13814,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ka_glc-ud-test,151,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
la_ittb-ud-dev,2101,0,11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,
la_ittb-ud-test,2101,0,10,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,
la_ittb-ud-train,22775,0,99,,,,27.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,71.0,,,,,,,
nl_alpino-ud-train,12289,0,55,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,,,,,,,,,13.0,26.0,,5.0,,,,,
nl_alpino-ud-test,596,0,6,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,,
nl_alpino-ud-dev,718,0,6,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,2.0,,1.0,,,,,
orv_torot-ud-test,2955,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,4.0
orv_torot-ud-dev,3061,0,8,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0
orv_torot-ud-train,20480,0,48,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,13.0,6.0,,1.0,,,,,23.0
fi_ftb-ud-dev,1875,0,3,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
fi_ftb-ud-train,14981,0,64,,,,,,,,,,,,,,,,6.0,,14.0,,18.0,,,,,,,,,26.0,,,,,,,,
fi_ftb-ud-test,1867,0,15,,,,,,,,,,,,,,,,1.0,,2.0,,6.0,,,,,,,,,6.0,,,,,,,,
en_gentle-ud-test,1334,0,3,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,
eme_tudet-ud-test,913,0,8,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0
tr_tourism-ud-test,2191,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
tr_boun-ud-train,7803,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
tr_penn-ud-train,14850,0,18,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,5.0,8.0,,,,,,,
