Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,advmod:emph,amod,amod:flat,appos,case,cc,compound,conj,csubj:pass,dep,det,flat,iobj,mark,nmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obl,obl:arg,parataxis,punct,root,xcomp
cs_pud-ud-test,1000,0,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,178,,,41.0,5.0,,,,3.0,5.0,,1.0,,,10.0,,,,98.0,,4.0,,,,1.0,1.0,,4.0,,5.0,
lt_alksnis-ud-dev,617,0,188,,,37.0,13.0,,,,,,,,,,5.0,,,,105.0,,1.0,,,,1.0,,1.0,24.0,,1.0,
lt_alksnis-ud-train,2341,0,794,,3.0,123.0,58.0,,,,,14.0,,8.0,,,30.0,2.0,1.0,1.0,459.0,,19.0,,1.0,2.0,13.0,6.0,3.0,41.0,,10.0,
hy_bsut-ud-train,1226,0,106,,,,,5.0,,,,,,1.0,,100.0,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,47,,,,,3.0,,,,,,,,44.0,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,63,,,,,1.0,,,,,,,,61.0,,,,,,,,,,,,,,,,1.0,
es_pud-ud-test,1000,0,4,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,11,,,,,2.0,,,,,8.0,,,,,,,,1.0,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,15,,,1.0,,12.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,98,,1.0,1.0,,4.0,,1.0,,,,7.0,,,,,,,19.0,,3.0,2.0,,,9.0,9.0,,2.0,37.0,3.0,
et_edt-ud-train,24615,0,547,,4.0,4.0,,27.0,,10.0,1.0,,,91.0,,,,,,,139.0,,31.0,12.0,,6.0,40.0,65.0,,9.0,93.0,15.0,
et_edt-ud-test,3214,0,96,,,1.0,,2.0,,1.0,1.0,,,14.0,,,,,,,17.0,,3.0,1.0,,,4.0,8.0,,2.0,37.0,2.0,3.0
cs_fictree-ud-train,10160,0,5,,,,,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,42,,,,,1.0,,,,,,1.0,,39.0,,,,,,,,,,,,1.0,,,,,
hyw_armtdp-ud-dev,694,0,35,,,,,1.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,386,,,,,8.0,,,,,1.0,,,370.0,,,,,1.0,2.0,3.0,,,,,,,,,1.0,
cs_pdt-ud-test,10146,0,56,,,,,52.0,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,
cs_pdt-ud-dev,9270,0,63,,,,,57.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,
cs_pdt-ud-train,68491,0,379,,1.0,,,337.0,,2.0,,,,12.0,,4.0,,,,,,,4.0,,,,4.0,12.0,1.0,,,2.0,
pl_pud-ud-test,1000,0,7,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,130,,,,,114.0,,1.0,,,,3.0,,4.0,,,,,,,2.0,,,,,3.0,,,,3.0,
cs_cac-ud-test,628,0,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
pl_lfg-ud-test,1727,0,3,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
pl_lfg-ud-train,13774,0,14,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
