Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,amod,appos,ccomp,ccomp:reported,compound,compound:nn,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,dislocated,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,nmod,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:pred
be_hse-ud-test,1077,0,182,,,,,,,,,57.0,,,,,21.0,,,,,,,,,13.0,,,,,,,42.0,,,,33.0,,,,,,1.0,1.0,,,,,,1.0,,,11.0,1.0,1.0,
cs_pud-ud-test,1000,0,210,,,,,,,,8.0,11.0,,,,,15.0,,,,,,,22.0,,,,,,,,,42.0,,,,72.0,,,,8.0,10.0,10.0,,11.0,,,,,,,,,,1.0,
orv_ruthenian-ud-test,390,0,182,,,,,,,,,74.0,,,,,28.0,,,,,,,,,1.0,,,,15.0,,,13.0,,,,31.0,,,,,6.0,12.0,,,,,,,,,,1.0,1.0,,
orv_ruthenian-ud-train,2789,0,2609,,,,4.0,,,,,1220.0,,,,,661.0,,,,,1.0,,,,23.0,,,,84.0,,1.0,227.0,,,,150.0,,,,,19.0,84.0,,,,,,16.0,28.0,,,89.0,1.0,1.0,
orv_ruthenian-ud-dev,344,0,162,,,,,,,,,54.0,,,,,24.0,,,,,,,,,,,,,9.0,,,20.0,,,,29.0,,,,1.0,5.0,9.0,,,,,,6.0,,,,4.0,1.0,,
lzh_tuecl-ud-test,100,0,6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,
vi_tuecl-ud-test,100,0,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
hy_bsut-ud-train,1226,0,277,,,,,,,,,15.0,1.0,,1.0,,29.0,,1.0,,,,1.0,,,,,,,3.0,,,7.0,,3.0,87.0,72.0,,,,6.0,25.0,12.0,,,,,,1.0,1.0,,,12.0,,,
hy_bsut-ud-test,595,0,107,,,,,,,,,18.0,,,,,14.0,,,,,,,,,6.0,,,,2.0,,,2.0,,,12.0,31.0,,,,,7.0,4.0,,,,,,,2.0,,,7.0,2.0,,
hy_bsut-ud-dev,479,0,67,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,,,,1.0,,,1.0,,2.0,17.0,29.0,,,,,1.0,1.0,1.0,,,,,,,,,5.0,,1.0,
mdf_jr-ud-test,454,0,18,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,5.0,,,2.0,1.0,,,,,,,,,,,1.0,,
mdf_jr-ud-train,20,0,8,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,
myv_jr-ud-test,921,0,101,,,,,,,,,4.0,,,,6.0,6.0,,,,,,,,,,,,,,,,22.0,,,,38.0,,,,,10.0,8.0,1.0,,,,,,,,,1.0,5.0,,
myv_jr-ud-train,1217,0,261,,,,,,,,,8.0,,,1.0,2.0,2.0,,,,,,2.0,,,7.0,,,,,,,32.0,2.0,,2.0,141.0,,1.0,,,13.0,25.0,2.0,,,,,2.0,,,,3.0,16.0,,
ru_taiga-ud-train,16045,0,726,,,,5.0,,,,,113.0,1.0,,,,69.0,,,,,,,,,101.0,,,,20.0,,1.0,107.0,,,,162.0,,,,2.0,21.0,34.0,6.0,,,,,,21.0,,,25.0,34.0,4.0,
ru_taiga-ud-dev,946,0,54,,,,,,,,,11.0,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,8.0,,,,1.0,,4.0,,,,,,,,,,5.0,15.0,2.0,
ru_taiga-ud-test,881,0,71,,1.0,,,,,,,9.0,,,,,11.0,,,,,,1.0,,,,,,,3.0,,,10.0,,,,7.0,,,,,3.0,1.0,,,,,,,4.0,,,12.0,9.0,,
hy_armtdp-ud-train,1974,0,484,,1.0,1.0,,,,,,23.0,1.0,,,,56.0,,,1.0,,,1.0,6.0,,,,,,9.0,,,17.0,,1.0,75.0,204.0,1.0,,,5.0,33.0,25.0,2.0,,,,,,2.0,,,11.0,4.0,5.0,
hy_armtdp-ud-dev,249,0,12,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,,6.0,,,,,1.0,1.0,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,70,,,,1.0,,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,1.0,,,4.0,,2.0,29.0,16.0,,,,1.0,2.0,6.0,,,,,,,,,,4.0,,,
orv_birchbark-ud-train,1045,0,780,,,,,,,,1.0,29.0,,,,,236.0,,,,,23.0,,,,14.0,,,,33.0,,,97.0,,,,39.0,,,,,6.0,29.0,1.0,,,,,60.0,2.0,,,207.0,3.0,,
orv_birchbark-ud-dev,1062,0,718,,,1.0,,,,,1.0,37.0,,,,,184.0,,,,,9.0,1.0,,,18.0,,,,29.0,,2.0,92.0,,,,58.0,,,,1.0,6.0,59.0,,,,,,49.0,2.0,,,163.0,6.0,,
orv_birchbark-ud-test,1007,0,842,,,,,,,,,63.0,,,,,197.0,,,,,2.0,,,,20.0,,,,43.0,,,130.0,,,,71.0,,,,,13.0,76.0,,,,,,66.0,2.0,,1.0,153.0,5.0,,
ru_poetry-ud-test,728,0,35,,,,,,,,,3.0,,,,,1.0,,,,,,,,,2.0,,,,3.0,,,7.0,,,,8.0,,,,1.0,2.0,,,,,,,,,,,6.0,2.0,,
ru_poetry-ud-dev,789,0,29,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,2.0,1.0,,,,,,,,,,9.0,6.0,,
ru_poetry-ud-train,3569,0,142,,,,2.0,,,,,10.0,,,,,5.0,,,,,,,,,7.0,,,,8.0,,,28.0,,,,28.0,,,,,5.0,7.0,,,,,,1.0,4.0,,,26.0,11.0,,
koi_uh-ud-train,34,0,14,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,
koi_uh-ud-test,94,0,7,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,108,,,,2.0,,,,,1.0,,,,,3.0,,,,,2.0,,10.0,,,,,,,,,1.0,,,,58.0,,,,,7.0,7.0,,6.0,,,,1.0,,,,5.0,5.0,,
cs_fictree-ud-train,10160,0,1037,,,,3.0,,,,,8.0,1.0,,,,46.0,,,,,8.0,,79.0,,,,,,4.0,,,49.0,,,,505.0,,,,6.0,93.0,56.0,,89.0,,,,,,,,40.0,50.0,,
cs_fictree-ud-test,1291,0,103,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,3.0,,,,61.0,,,,,8.0,6.0,,10.0,,,,,,,,2.0,5.0,,
la_udante-ud-train,926,0,332,,,1.0,,1.0,2.0,,1.0,1.0,,4.0,,,22.0,2.0,,,,,,13.0,,,,,,,,,69.0,,,,115.0,,,,3.0,17.0,37.0,3.0,14.0,,,,9.0,,,,7.0,11.0,,
la_udante-ud-test,419,0,70,,,1.0,,,4.0,,,,,,,,23.0,7.0,,,,,,5.0,,4.0,,,,,,,15.0,,,,8.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,
la_udante-ud-dev,376,0,101,,,,,,,,1.0,,,,,,8.0,,,,,,,13.0,,,,,,,,,31.0,,,,17.0,,,,4.0,10.0,10.0,,2.0,,,,,,,,4.0,1.0,,
hyw_armtdp-ud-test,680,0,180,,,,,,,,,11.0,,,,,49.0,,,,,,,,,11.0,,,,,,,21.0,,,22.0,42.0,,,,,6.0,10.0,3.0,,,,,,,,,4.0,,1.0,
hyw_armtdp-ud-dev,694,0,91,,,,,,,,,4.0,,,,,6.0,,,,,,,,,13.0,,,,2.0,,,5.0,,1.0,27.0,23.0,,,,,3.0,3.0,,,,,,,,,,2.0,1.0,1.0,
hyw_armtdp-ud-train,5282,0,1145,,,,,,,,,42.0,1.0,,1.0,,169.0,,,,,,3.0,3.0,,47.0,1.0,,,22.0,1.0,,68.0,,11.0,177.0,375.0,1.0,,,7.0,76.0,64.0,6.0,,,,,5.0,10.0,,,31.0,19.0,5.0,
cs_pdt-ud-test,10146,0,4449,,,,3.0,,,,230.0,45.0,1.0,,,,299.0,,,,,161.0,,2043.0,,,,,,4.0,,,443.0,,,,709.0,,,,13.0,63.0,119.0,,78.0,,,,4.0,,,,226.0,5.0,3.0,
cs_pdt-ud-dev,9270,0,4173,,,,8.0,,,,213.0,44.0,,,,,320.0,,,,,136.0,,1944.0,,,,,,3.0,,,407.0,,,,640.0,,,,22.0,49.0,84.0,,60.0,,,,9.0,,,,231.0,,3.0,
cs_pdt-ud-train,68491,0,32247,7.0,1.0,1.0,53.0,,,,1791.0,275.0,5.0,,,,2528.0,,1.0,,,1031.0,,14576.0,,,,,,9.0,,,3100.0,,,,5291.0,,,,117.0,408.0,778.0,,509.0,,,,75.0,,,,1665.0,8.0,18.0,
lzh_kyoto-ud-dev,6102,0,1516,,,,3.0,,,,,,2.0,,5.0,,60.0,,,,,,1.0,656.0,,,,,,6.0,,,85.0,,,,426.0,,,6.0,1.0,171.0,31.0,,,,,,,1.0,,,29.0,33.0,,
lzh_kyoto-ud-train,74609,0,13041,,2.0,,1.0,,,,18.0,,6.0,,150.0,,430.0,,,,,,12.0,6212.0,,,,,,43.0,,11.0,770.0,,,,3526.0,,,55.0,,1313.0,182.0,,,,5.0,,,8.0,,,218.0,78.0,1.0,
lzh_kyoto-ud-test,5528,0,898,,1.0,,,,,,1.0,,,,3.0,,19.0,,,,,,,341.0,,,,,,4.0,,,59.0,,,,291.0,,,6.0,1.0,126.0,20.0,,,,,,,,,,21.0,5.0,,
la_ittb-ud-dev,2101,0,67,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,15.0,,,,21.0,,,,4.0,,18.0,,1.0,,,,,,,,3.0,1.0,,
la_ittb-ud-test,2101,0,45,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,8.0,,,,2.0,1.0,9.0,1.0,1.0,,,,,,,,6.0,,,
la_ittb-ud-train,22775,0,1195,,,2.0,4.0,,3.0,,,3.0,,,,,39.0,4.0,2.0,,1.0,,,12.0,,,,,,,,,269.0,,,,376.0,,,,29.0,15.0,339.0,14.0,47.0,,,,1.0,,,,30.0,2.0,3.0,
cs_cac-ud-dev,603,0,19,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,6.0,,,,,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1251,,,,5.0,,,,47.0,19.0,,,,,142.0,,,,,9.0,,349.0,1.0,,,,,,,,250.0,,,,278.0,,,,2.0,30.0,33.0,,36.0,,,,8.0,,,,27.0,7.0,8.0,
cs_cac-ud-test,628,0,35,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,9.0,,,,12.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,
cs_poetry-ud-test,297,0,32,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,6.0,,,,,,,,,4.0,,,,7.0,,,,,4.0,1.0,,,,,,,,,,5.0,1.0,,
