Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:quote,advcl:relcl,advcl:tcl,advmod,advmod:mmod,advmod:tmod,amod,appos,appos:trans,aux,aux:q,case,cc,ccomp,ccomp:obj,ccomp:obl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:poss,expl:pv,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:inst,obl:lmod,obl:pmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:rep,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds
de_pud-ud-test,1000,0,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-dev,381,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-train,1419,0,589,,5.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
cop_scriptorium-ud-test,403,0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,250,,,1.0,,,,,,,,,,,,,,,,,,26.0,,,,,1.0,,,,,,,,,,219.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,162,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,149.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,3519,4.0,,2.0,,,,,,,1.0,1.0,,,,,,5.0,,,,,,,,,14.0,,,,,,,,,,3383.0,,,,,,,,,,,3.0,,,29.0,,,,,,,,,,,1.0,7.0,,,,,,1.0,,47.0,,,,,,,5.0,,,3.0,,,,,12.0,,1.0,
ro_simonero-ud-test,491,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,8.0,,,,,,7.0,,10.0,,,,,,,,,,,,,,,3.0,,,
hy_bsut-ud-test,595,0,16,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,5.0,,,,,,,,,,,,,,,1.0,1.0,,
hy_bsut-ud-dev,479,0,3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,159,,,,,,3.0,,,,1.0,,,,,4.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,3.0,,40.0,,8.0,,,,42.0,,9.0,1.0,,2.0,,,22.0,,4.0,,,,,,,5.0,1.0,4.0,
mdf_jr-ud-train,20,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,
la_llct-ud-dev,850,0,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,2673,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,2626.0,,,,1.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
bor_bdt-ud-test,881,0,138,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,6.0,,,,,8.0,,,,,,,,2.0,,,,,,,,,,,12.0,,,,,,,,,,,,45.0,,,1.0,,,19.0,,24.0,,,,,,,,,,2.0,,,,1.0,10.0,6.0,,
hsb_ufal-ud-test,623,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,718,19.0,2.0,58.0,,,,32.0,,,5.0,2.0,,2.0,,7.0,,3.0,,,,,,5.0,1.0,,26.0,7.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,1.0,1.0,,,,,44.0,,74.0,,40.0,,,,139.0,,181.0,,,,,,,,,,,,,,,24.0,,18.0,2.0
fi_tdt-ud-test,1555,0,135,6.0,,6.0,,,,9.0,,,,1.0,,,,,,2.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2.0,,,,,,4.0,,9.0,,4.0,,,,34.0,,36.0,,,,,,,,,,,,,,,1.0,,4.0,
fi_tdt-ud-dev,1364,0,105,4.0,,3.0,,,,7.0,,,1.0,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,11.0,,3.0,,,,23.0,,32.0,,,,,,,,,1.0,,,,,,5.0,,1.0,
sr_set-ud-test,520,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,24,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,358,,,3.0,,,,,,,1.0,5.0,,,,,,,,,,4.0,,,,,14.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,21.0,,,,1.0,,,,,,,,104.0,,4.0,,,,87.0,,69.0,,,,,9.0,14.0,,2.0,3.0,,,,,,8.0,2.0,3.0,1.0
myv_jr-ud-train,1217,0,404,,1.0,2.0,,,,,,,,4.0,,,,,,,,,,1.0,,1.0,,,15.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,26.0,,,,2.0,,,,,,2.0,,105.0,,7.0,,,,90.0,,82.0,,,2.0,,5.0,28.0,,5.0,2.0,,,,,,12.0,7.0,1.0,1.0
quc_iu-ud-test,1435,0,830,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,9.0,,,,,5.0,,,,,,,,1.0,,,,,1.0,,,,,,132.0,,,,,,,,,,,,202.0,,,,,,106.0,,343.0,,,,,,,,,,,,,,,26.0,3.0,,
tr_framenet-ud-test,205,0,150,,,6.0,,,,,,,,,,,,,,3.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,16.0,,,,,,39.0,,37.0,,,,,,,,,,1.0,,,,,1.0,1.0,,
tr_framenet-ud-train,2288,0,1812,13.0,,46.0,,,,,,,1.0,,,,,,,62.0,,,,368.0,,,,,10.0,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,140.0,,,,,,,,,,,,216.0,,,,,2.0,601.0,,322.0,,,,,,,,,,10.0,,,,,7.0,2.0,,
tr_framenet-ud-dev,205,0,159,3.0,,8.0,,,,,,,,,,,,,,7.0,,,,32.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,13.0,,,,,,53.0,,24.0,,,,,,,,,,,,,,,,,,
gun_thomas-ud-test,98,0,31,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,11.0,,,,,,4.0,,7.0,,,,,,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
it_pud-ud-test,1000,0,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,33,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,3.0,,8.0,,,,,,6.0,,7.0,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,421,,,,,,,,,,7.0,,,,,,,4.0,,,,16.0,,,,,6.0,,13.0,,,,,,,,,,,,,,,,,,,,,,136.0,,,,,,,,,,52.0,,54.0,,,,,,29.0,,94.0,,,,,,,,,,,,,,,10.0,,,
kpv_ikdp-ud-test,214,0,137,2.0,,5.0,,,,,,,,2.0,,,,7.0,,,,,,,,,,,8.0,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,,40.0,,,,,,33.0,,19.0,,,,,,8.0,,,,,,,,,5.0,1.0,,
kpv_lattice-ud-test,643,0,533,,1.0,4.0,,,6.0,1.0,1.0,1.0,4.0,8.0,,,,46.0,,1.0,,,,,,,,,26.0,,4.0,1.0,,,,,,,,,,4.0,,,,,,,1.0,,,,11.0,,,,,,,13.0,,,4.0,,124.0,,36.0,,,,98.0,,80.0,,,,,,34.0,,9.0,,1.0,,,,,12.0,1.0,1.0,
kpv_lattice-ud-train,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
abq_atb-ud-test,98,0,36,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,8.0,,,,,,9.0,,10.0,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,1282,96.0,,57.0,,,,,,,,2.0,,21.0,,11.0,,78.0,,,,9.0,,,,1.0,25.0,21.0,25.0,25.0,,,,,,,,,1.0,,,,,,2.0,,,,,4.0,89.0,,,,,,,,,8.0,,,209.0,,5.0,,,,188.0,,210.0,11.0,,,,,,,37.0,,,,,,,136.0,,11.0,
fr_gsd-ud-test,416,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,3093,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,3084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,279,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,46,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,9.0,,12.0,,,,,,,,,,4.0,,,,,8.0,3.0,1.0,
fi_pud-ud-test,1000,0,13,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,2.0,,,
fr_rhapsodie-ud-train,1288,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
