Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:pred,advcl:relcl,amod,appos,aux,aux:caus,aux:pass,ccomp,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,discourse,dislocated,fixed,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:arg,orphan,parataxis,parataxis:discourse,reparandum,root,xcomp
hy_bsut-ud-dev,479,0,132,6.0,7.0,15.0,,,,,2.0,,1.0,2.0,,,13.0,,,,,,,22.0,,,2.0,,,,6.0,,,,,,,,,,,5.0,,,46.0,5.0
la_llct-ud-dev,850,0,164,25.0,2.0,58.0,,,,,,,,,,,5.0,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,199,27.0,1.0,76.0,,,,,,,,1.0,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,1.0,
la_llct-ud-train,7289,0,1527,246.0,13.0,443.0,1.0,,,,1.0,,,1.0,,1.0,18.0,1.0,,,,,,779.0,,,,,,,,,,,,,,,,,,1.0,,2.0,11.0,9.0
tr_gb-ud-test,2880,0,23,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,18.0,
ceb_gja-ud-test,188,0,20,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
hy_armtdp-ud-train,1974,0,657,17.0,17.0,96.0,,,,,,,,24.0,,,52.0,,,,1.0,,8.0,183.0,,,12.0,,,,1.0,,1.0,1.0,,,,,,,,33.0,,,186.0,25.0
hy_armtdp-ud-dev,249,0,67,4.0,2.0,12.0,,,,,,,,1.0,,,6.0,,,,,,,19.0,,,2.0,,,,,,,,,,,,,,1.0,4.0,,,15.0,1.0
hy_armtdp-ud-test,277,0,148,2.0,,14.0,,,,,,,,2.0,,,14.0,,,,,,1.0,75.0,,,,,,,,,,,,,,,,,,6.0,,,32.0,2.0
ota_boun-ud-train,114,0,14,3.0,,,,,,,,,,,,,1.0,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,5.0,
ota_boun-ud-test,400,0,60,6.0,,2.0,,,,,,,,,,,5.0,,,2.0,19.0,,,6.0,,,,,,,,,,,2.0,,,,1.0,,,1.0,,,16.0,
la_udante-ud-train,926,0,276,39.0,4.0,76.0,3.0,,7.0,4.0,,,,,,,10.0,,4.0,,,,,38.0,3.0,4.0,6.0,,1.0,2.0,,,,6.0,,,,1.0,3.0,3.0,1.0,,,,56.0,5.0
la_udante-ud-test,419,0,102,3.0,4.0,31.0,,,1.0,2.0,,,,,,,14.0,,,,,,,7.0,,,3.0,,4.0,1.0,,,,,,,,,,1.0,,,,,21.0,10.0
la_udante-ud-dev,376,0,108,9.0,,35.0,1.0,,1.0,1.0,,,,,,,9.0,,,,,,,11.0,,1.0,1.0,2.0,1.0,,,,,14.0,,,,4.0,2.0,,,,,,14.0,2.0
hyw_armtdp-ud-test,680,0,682,8.0,64.0,56.0,,,,,3.0,,2.0,56.0,3.0,,19.0,,,,,,,178.0,,9.0,25.0,,,,7.0,1.0,,,,,,1.0,,,,24.0,,,223.0,3.0
hyw_armtdp-ud-dev,694,0,611,12.0,77.0,47.0,,,,,12.0,,1.0,62.0,,,26.0,,,,,,1.0,142.0,,9.0,10.0,,2.0,,8.0,1.0,,,,,,,,,,11.0,,,185.0,5.0
hyw_armtdp-ud-train,5282,0,4578,101.0,329.0,320.0,,,,,57.0,1.0,11.0,494.0,4.0,,171.0,,,,1.0,,4.0,1028.0,,26.0,81.0,,8.0,,38.0,3.0,3.0,1.0,,,1.0,1.0,,,,263.0,,,1593.0,39.0
pcm_nsc-ud-dev,990,0,217,,,,,1.0,,,,,,209.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,1.0,
pcm_nsc-ud-train,7279,0,1793,,2.0,2.0,,4.0,,,,,,1745.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,22.0,15.0,
pcm_nsc-ud-test,972,0,200,,1.0,,,1.0,,,,,,192.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
la_ittb-ud-dev,2101,0,183,57.0,1.0,2.0,21.0,,,,2.0,,,,,,4.0,2.0,,,,,,11.0,1.0,,,,,,,,,9.0,,,,,43.0,,,,,,20.0,10.0
la_ittb-ud-test,2101,0,151,35.0,4.0,4.0,48.0,,,,3.0,,,,,,,,,,,,,9.0,,,1.0,,,,,,,5.0,,,,,25.0,,,,,,16.0,1.0
la_ittb-ud-train,22775,0,2489,420.0,37.0,54.0,225.0,,6.0,1.0,12.0,,,,,,72.0,9.0,,,,,,153.0,13.0,8.0,24.0,1.0,19.0,3.0,,,,53.0,,,,,651.0,,6.0,,,,653.0,69.0
qtd_sagt-ud-test,805,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
eu_bdt-ud-train,5396,0,953,48.0,,38.0,,,,,,,3.0,1.0,,,115.0,,,12.0,,,,143.0,,104.0,6.0,,,,,,,2.0,,,,1.0,,,,,,,479.0,1.0
eu_bdt-ud-test,1799,0,279,20.0,,12.0,,,,,,,,,,,32.0,,,4.0,,,,34.0,,25.0,1.0,,,,,,,,,1.0,,,,,,,,,150.0,
eu_bdt-ud-dev,1798,0,297,17.0,,10.0,,,,,,,1.0,,,,32.0,,,5.0,,,,30.0,,41.0,,,,,,,,,,,,,,,,,,,161.0,
tr_imst-ud-train,3435,0,24,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,16.0,
tr_imst-ud-dev,1100,0,8,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
tr_imst-ud-test,1100,0,5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
tr_boun-ud-dev,979,0,13,7.0,,,,,,,,,,,,,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,
tr_boun-ud-test,979,0,4,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_boun-ud-train,7803,0,786,160.0,,32.0,,,,,,6.0,,3.0,,,92.0,,,72.0,43.0,6.0,,86.0,,4.0,22.0,,,,1.0,,,2.0,17.0,9.0,,18.0,7.0,,,3.0,,,203.0,
