Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:conv,advmod,amod,amod:att,appos,aux,aux:caus,case,ccomp,ccomp:obj,ccomp:obl,ccomp:purp,ccomp:quote,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:caus,csubj:cop,csubj:pass,dep,dislocated,flat,mark,nmod,nmod:part,nmod:poss,nsubj,obj,obl,obl:subj,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:lo
tr_atis-ud-train,4274,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,69,2.0,,3.0,,,,,,,,,2.0,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,7.0,,,,48.0,,,
tr_kenet-ud-test,1643,0,56,1.0,,3.0,,,,,,,,,1.0,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,8.0,,,,35.0,,,
tr_kenet-ud-train,15398,0,638,6.0,,20.0,,,,,,,,,9.0,,,,,9.0,,,30.0,,1.0,,,,,,,,1.0,,,,3.0,6.0,,,66.0,,,,486.0,,1.0,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
sa_ufal-ud-test,230,0,9,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,
gub_tudet-ud-test,1182,0,121,,,9.0,,,,,,3.0,,,5.0,,,,,,,,11.0,,,,,,,,,,3.0,,,,14.0,7.0,5.0,,2.0,,,,60.0,2.0,,
say_autogramm-ud-test,1864,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,
ml_ufal-ud-test,218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
egy_ujaen-ud-test,721,0,28,1.0,,4.0,,2.0,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,14.0,,,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
mr_ufal-ud-train,373,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
hy_bsut-ud-train,1226,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
hy_bsut-ud-dev,479,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,255,1.0,,15.0,,2.0,,,1.0,,,,8.0,,,,,1.0,,,27.0,,,,,,2.0,,,,1.0,,,3.0,2.0,1.0,,,43.0,,,,148.0,,,
tr_framenet-ud-test,205,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,
tr_framenet-ud-train,2288,0,38,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,32.0,,,
tr_framenet-ud-dev,205,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
bm_crb-ud-test,1026,0,15,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,5.0,,4.0,
tt_nmctt-ud-test,148,0,39,1.0,,4.0,,,3.0,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,2.0,7.0,,,3.0,,,,9.0,,,
tr_gb-ud-test,2880,0,123,5.0,,13.0,,,,,,,,,7.0,,,,,,,,1.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,87.0,,4.0,
zh_gsd-ud-dev,500,0,46,,3.0,9.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,23.0,,3.0,
zh_gsd-ud-test,500,0,44,,,5.0,,,1.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,4.0,,,,22.0,,7.0,
zh_gsd-ud-train,3997,0,403,2.0,27.0,72.0,,,1.0,,,,,1.0,38.0,,,,,2.0,,,3.0,,6.0,,,,,,,,,,,,,,,,60.0,,,,151.0,,40.0,
tpn_tudet-ud-test,581,0,103,,,26.0,,,,,1.0,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,1.0,2.0,2.0,,,14.0,,,,40.0,,4.0,
hy_armtdp-ud-train,1974,0,17,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,
hy_armtdp-ud-dev,249,0,4,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,
hy_armtdp-ud-test,277,0,3,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,6,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ota_boun-ud-test,400,0,36,12.0,,6.0,,,,,,,,,1.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,10.0,,3.0,
sjo_xdt-ud-test,810,0,138,3.0,10.0,48.0,,,1.0,,1.0,,,,2.0,,,,,,,,3.0,1.0,2.0,,,,,,,,,,,,1.0,4.0,,,1.0,,,,61.0,,,
zh_pud-ud-test,1000,0,129,,14.0,8.0,,,,,,,,37.0,6.0,,,,,,,,2.0,,2.0,,,,11.0,,,2.0,,,,,,,,,,,,,32.0,,15.0,
myu_tudet-ud-test,158,0,22,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,11.0,,,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,35,1.0,2.0,3.0,,,,,,,18.0,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,3.0,,2.0,
ha_southernautogramm-ud-test,1918,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
arr_tudet-ud-test,674,0,17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,
ha_northernautogramm-ud-test,400,0,5,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,
gn_oldtudet-ud-test,59,0,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko_pud-ud-test,1000,0,44,,16.0,15.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,8.0,,,
qtd_sagt-ud-test,805,0,31,1.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,10.0,1.0,,,11.0,,1.0,
qtd_sagt-ud-dev,801,0,20,,,4.0,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,7.0,,,
qtd_sagt-ud-train,578,0,21,1.0,,4.0,,,,,,,,,2.0,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,6.0,,1.0,
eu_bdt-ud-train,5396,0,128,5.0,,35.0,,,,,1.0,,,,1.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,61.0,,5.0,
eu_bdt-ud-test,1799,0,56,2.0,,19.0,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,29.0,,2.0,
eu_bdt-ud-dev,1798,0,50,1.0,,13.0,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,25.0,,4.0,
urb_tudet-ud-test,83,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
am_att-ud-test,1074,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
eme_tudet-ud-test,913,0,68,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,4.0,,,,55.0,,4.0,
tr_tourism-ud-train,15473,0,195,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,59.0,,,,132.0,,,
tr_tourism-ud-dev,2166,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,29.0,,,
tr_tourism-ud-test,2191,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,8.0,,,
ab_abnc-ud-test,263,0,25,,1.0,,7.0,,,,,,,,,1.0,,2.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,2.0
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
tr_imst-ud-train,3435,0,435,60.0,,47.0,,,1.0,,,,,,11.0,,,,,26.0,4.0,2.0,51.0,,4.0,,,,,1.0,,,31.0,,23.0,12.0,17.0,1.0,,,2.0,,,,141.0,,1.0,
tr_imst-ud-dev,1100,0,126,20.0,,9.0,,,,,,,,,,,,,,5.0,1.0,,15.0,,,,,,,,5.0,,6.0,,4.0,4.0,8.0,,,,1.0,,,,47.0,,1.0,
tr_imst-ud-test,1100,0,100,16.0,,12.0,,,,,,,,,3.0,,,,,5.0,,,11.0,,1.0,,,,,,,,1.0,,3.0,3.0,3.0,,,,1.0,,,,41.0,,,
bxr_bdt-ud-test,908,0,14,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,9.0,,,
tr_boun-ud-dev,979,0,125,22.0,,17.0,,,,,,,,,4.0,,,,,4.0,,1.0,24.0,,,,,,,,,,6.0,,6.0,,1.0,2.0,,,2.0,,,,33.0,,3.0,
tr_boun-ud-test,979,0,100,17.0,,13.0,,,,,,,,,7.0,,,,,2.0,1.0,,16.0,,2.0,,,,,,,,2.0,,6.0,2.0,,1.0,,,1.0,,,,29.0,,1.0,
tr_boun-ud-train,7803,0,842,131.0,,127.0,,,3.0,,1.0,,,,40.0,,,,,35.0,10.0,1.0,119.0,,20.0,,,,,,,,6.0,1.0,41.0,17.0,13.0,22.0,,,5.0,,,,242.0,,8.0,
tr_penn-ud-dev,622,0,25,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,21.0,,1.0,
tr_penn-ud-test,924,0,40,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,37.0,,,
tr_penn-ud-train,14850,0,614,7.0,,9.0,,,1.0,,1.0,,,,15.0,,,,,2.0,,,31.0,,,,,,,,,,,,,1.0,1.0,1.0,,,11.0,,,,533.0,,1.0,
