Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,ccomp,clf,compound,compound:lvc,conj,cop,csubj,dep,dep:agr,det,det:poss,discourse,dislocated,expl,expl:pv,fixed,flat,flat:name,iobj,mark,nmod,nmod:cau,nmod:lmod,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:arg,obl:own,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp
hi_pud-ud-test,1000,0,54,,1.0,4.0,1.0,,,,8.0,,,,,,,,1.0,5.0,,,,,,,,,,,,,3.0,,,,,5.0,,14.0,,,,1.0,1.0,,,,,,,,10.0,,
sa_ufal-ud-test,230,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,1.0,,,,,,,,,,1.0,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
de_pud-ud-test,1000,0,4,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,
ro_nonstandard-ud-test,1052,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,19.0,,,,,6.0,,,,,,,,1.0,,,,,,,
ro_nonstandard-ud-dev,1052,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,111,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,12.0,,22.0,,,,,21.0,,,,,38.0,,,12.0,,,,,1.0,,
vi_tuecl-ud-test,100,0,5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,14,,,,,,,,1.0,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,
hy_bsut-ud-dev,479,0,6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,2.0,,
es_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
id_gsd-ud-train,4482,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,23.0,,4.0,,1.0,2.0,,,,,,1.0,,2.0,1.0,
id_gsd-ud-test,557,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
id_gsd-ud-dev,559,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,1.0,,,,,,,,,,,
quc_iu-ud-test,1435,0,29,,,,,,,,,,,,,,,,,,,1.0,25.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
id_pud-ud-test,1000,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,50.0,,2.0,,2.0,4.0,,,,,,,,,,
bho_bhtb-ud-test,357,0,144,,5.0,,1.0,,,,33.0,,18.0,,2.0,,27.0,,2.0,,,,,,,,,,,,,,,1.0,7.0,,,,,4.0,,,,3.0,,,,,,,,,38.0,,3.0
nds_lsdc-ud-train,500,0,33,,,,1.0,,,,,,,,1.0,,,,5.0,2.0,,,,,,,,,1.0,,,,2.0,,,,,,,11.0,,,,1.0,2.0,,,,,,2.0,,5.0,,
nds_lsdc-ud-test,500,0,20,,,,,,,,2.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,8.0,,,,1.0,,,,,,,1.0,,1.0,1.0,
hy_armtdp-ud-train,1974,0,10,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,3.0,,,,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_csui-ud-test,374,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,1.0,2.0,,,,,,,,,,
id_csui-ud-train,656,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,9.0,,,,1.0,3.0,,,,,,,,,,
da_ddt-ud-train,4383,0,24,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,18.0,,,,,1.0,,,,,,,,,,
da_ddt-ud-test,565,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,4,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
hyw_armtdp-ud-test,680,0,8,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,
hyw_armtdp-ud-dev,694,0,22,,,,1.0,,,,4.0,,,,,,,,4.0,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,2.0,,,,5.0,,,,,,,,,2.0,,
hyw_armtdp-ud-train,5282,0,86,,,,4.0,,,,15.0,,,,3.0,,,,13.0,3.0,2.0,,,,5.0,,1.0,,,,,,3.0,,,,,,,6.0,,,,8.0,6.0,,,,,,3.0,,14.0,,
ca_ancora-ud-train,13123,0,29,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,22.0,,,,,1.0,3.0,,,,,,,1.0,,
nhi_itml-ud-test,909,0,58,,1.0,,3.0,,,,,,,,2.0,,,,7.0,,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,12.0,1.0,20.0,,4.0
de_gsd-ud-train,13814,0,26,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,11.0,,,,2.0,2.0,1.0,,,,,,,2.0,,
de_gsd-ud-dev,799,0,6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,1.0,,
de_gsd-ud-test,977,0,11,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,6.0,,,,2.0,,1.0,,,,,,,,,
xnr_kdtb-ud-test,288,0,32,,,,1.0,,1.0,,5.0,1.0,,,1.0,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,11.0,,2.0
kk_ktb-ud-test,1047,0,67,,,,2.0,,,1.0,6.0,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,11.0,,14.0,,,,7.0,8.0,,3.0,,,,1.0,,9.0,,
cs_pdt-ud-test,10146,0,15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,24,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,61,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,94,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,37.0,1.0,1.0,,5.0,,,,,,,,,40.0,,2.0
ug_udt-ud-test,900,0,24,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,12.0,,,,1.0,2.0,,,,,,3.0,,2.0,,
ug_udt-ud-dev,900,0,27,,,,,,,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,8.0,,,,1.0,2.0,,,,,,1.0,,6.0,,
ug_udt-ud-train,1656,0,35,,,,,,,,,,,,3.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,6.0,,7.0,,,,3.0,4.0,,,,,,3.0,,5.0,,
ur_udtb-ud-train,4043,0,884,,3.0,7.0,4.0,,1.0,,130.0,,22.0,,8.0,,3.0,,21.0,48.0,,,,1.0,,,,,,,,,44.0,,61.0,,,,,448.0,,,,40.0,12.0,,,,,,,,31.0,,
ur_udtb-ud-dev,552,0,98,,,1.0,,,,,9.0,,,,3.0,,1.0,,1.0,6.0,,,,,,,,,,,,,6.0,,11.0,,,,,56.0,,,,1.0,,,,,,,,,3.0,,
ur_udtb-ud-test,535,0,110,,,2.0,,,,,10.0,,,,1.0,,,,,5.0,,,,1.0,,,,,,,,,7.0,,10.0,,,,,64.0,,,,5.0,2.0,,,,,,,,3.0,,
ta_ttb-ud-train,400,0,493,,2.0,,,,,,54.0,,,,4.0,,2.0,,12.0,,,,,,,,,,,,,,,,166.0,,,,,130.0,,,,10.0,9.0,10.0,,,,,,,94.0,,
ta_ttb-ud-dev,80,0,85,,,,,,,,6.0,,,,,,,,11.0,,,,,,,,,,,,,,1.0,,31.0,,,,,21.0,,,,,,,,,,,,,15.0,,
ta_ttb-ud-test,120,0,152,,,,,,,,24.0,,,,1.0,,,,6.0,,1.0,,,,,,,,,,,,,,31.0,,,,,44.0,,,,6.0,9.0,3.0,,,,,,,27.0,,
ko_pud-ud-test,1000,0,4884,,,,40.0,4.0,,,4.0,,251.0,,13.0,,37.0,60.0,179.0,1.0,5.0,1.0,,,,,,,,,11.0,14.0,21.0,,,,,612.0,,1254.0,,146.0,,945.0,1275.0,,,,,2.0,,,9.0,,
jv_csui-ud-test,1000,0,478,,2.0,19.0,44.0,65.0,24.0,2.0,25.0,,27.0,5.0,,1.0,1.0,,12.0,6.0,2.0,,,42.0,,1.0,,,,8.0,,,,14.0,7.0,,3.0,16.0,2.0,53.0,,13.0,3.0,7.0,13.0,,,,3.0,,,,48.0,,10.0
tr_imst-ud-train,3435,0,26,,,,,,,,,,,,1.0,,4.0,1.0,3.0,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,3.0,,,,,,,,,8.0,,
tr_imst-ud-dev,1100,0,5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,
tr_imst-ud-test,1100,0,4,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
bej_nsc-ud-test,380,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,1.0,,,,,,,,,,,
es_coser-ud-test,539,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,
