Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cau,advcl:cmp,advcl:tcl,advmod,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:smixut,conj,cop,csubj,csubj:pass,dep,det,fixed,flat,flat:foreign,flat:name,iobj,nmod,nmod:gobj,nmod:gsubj,nmod:lmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nummod,obj,obl,obl:agent,obl:cau,obl:cmp,obl:dat,obl:inst,obl:lmod,obl:own,obl:tmod,orphan,parataxis,root,vocative,xcomp
myv_jr-ud-train,1217,0,1009,,2.0,1.0,8.0,,2.0,1.0,6.0,,1.0,4.0,9.0,8.0,,,1.0,3.0,,,,24.0,,2.0,,,3.0,3.0,,,6.0,,170.0,13.0,5.0,1.0,23.0,,3.0,,6.0,47.0,377.0,4.0,,17.0,,30.0,150.0,1.0,25.0,1.0,2.0,31.0,,19.0
nds_lsdc-ud-train,500,0,33,,,,1.0,,,,,,,,,,,,,2.0,,,,3.0,1.0,,,,,,,,,2.0,,,,,,,13.0,,,1.0,2.0,,,,,,,,,,2.0,6.0,,
nds_lsdc-ud-test,500,0,149,,1.0,1.0,12.0,,,,,,,,,,20.0,,,3.0,,,,4.0,4.0,1.0,,,,,,,,4.0,,,,,,,65.0,,,14.0,6.0,,,,,,,,,,5.0,7.0,1.0,1.0
cs_cltt-ud-dev,316,0,47,,,13.0,6.0,,,,,,,,3.0,,,2.0,,2.0,,,,10.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
cs_cltt-ud-train,467,0,39,,1.0,15.0,,,,,,,,,4.0,,,2.0,,1.0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0
cs_cltt-ud-test,338,0,53,1.0,1.0,7.0,6.0,,,,,,,,4.0,,,3.0,,5.0,,,,2.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,,
he_htb-ud-train,5168,0,142,,1.0,,1.0,,,,,,,,1.0,9.0,,,,1.0,,,5.0,11.0,,,,9.0,1.0,,,,,,26.0,,,,13.0,,10.0,2.0,4.0,9.0,36.0,,,,,,,,,,2.0,1.0,,
he_htb-ud-dev,484,0,9,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,3.0,,,,3.0,,,,,,,,,,,,,
he_htb-ud-test,491,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,1894,153.0,51.0,164.0,105.0,,,,,,,,31.0,9.0,4.0,103.0,,97.0,,,,214.0,123.0,15.0,3.0,7.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,3.0,18.0,773.0,,15.0
cs_pdt-ud-dev,9270,0,1432,75.0,30.0,152.0,87.0,,,,,,,,20.0,7.0,,87.0,,108.0,,,,151.0,82.0,18.0,1.0,3.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,8.0,588.0,,12.0
cs_pdt-ud-train,68491,0,11305,720.0,269.0,1140.0,586.0,,,,,,,,237.0,32.0,24.0,619.0,,667.0,,,,1212.0,682.0,105.0,21.0,45.0,,,,,,,,,,,,,,,,22.0,3.0,,,,,,,,,7.0,69.0,4775.0,,70.0
cs_cac-ud-dev,603,0,76,1.0,1.0,4.0,2.0,,,,,,,,3.0,,1.0,5.0,,4.0,,,,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,40.0,,
cs_cac-ud-train,23478,0,3694,54.0,81.0,335.0,202.0,,,,,,,,117.0,4.0,20.0,297.0,,127.0,,,,516.0,292.0,35.0,4.0,14.0,,,,1.0,,,,,,,,,,,,17.0,3.0,,,,,,,,,7.0,18.0,1510.0,,40.0
cs_cac-ud-test,628,0,69,,3.0,2.0,7.0,,,,,,,,3.0,,,4.0,,3.0,,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,33.0,,1.0
