Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,appos,aux,aux:part,case,cc,ccomp,ccomp:relcl,compound,compound:lvc,compound:prt,compound:redup,compound:smixut,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:comp,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:repeat,flat:sibl,iobj,nmod,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obj:agent,obj:appl,obj:caus,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:subj,orphan,parataxis,reparandum,root,xcomp,xcomp:pred
uk_iu-ud-test,898,0,91,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,68.0,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,1.0,,,4.0,,,,13.0,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,5418,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,303.0,1831.0,,2555.0,1.0,2.0,,,,,18.0,,,,,,,,,,,425.0,,,,15.0,,265.0,,,,,,,,,,,,,,1.0,,
es_ancora-ud-test,1721,0,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,207.0,,323.0,,,,,,,1.0,,,,,,,,,,,56.0,,,,3.0,,23.0,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,623,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,18.0,195.0,,334.0,,,,,,,1.0,,,,,,,,,,,47.0,,,,6.0,,19.0,,,,,,,,,,,,,,,,
kmr_mg-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kmr_mg-ud-test,734,0,218,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,52.0,,,,,,,138.0,1.0,,,19.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,
hr_set-ud-dev,960,0,420,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,89.0,,,,,261.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,64.0,,,,2.0,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,2691,,,,,,,,,,,2.0,,,,,,2.0,,8.0,,,,,1.0,,,,,,1.0,,486.0,,2.0,,,1788.0,,,,,,1.0,,,,,8.0,7.0,,,,,,,,,,,346.0,,,,37.0,,,,,,,,,,,,,,,,1.0,1.0,
hr_set-ud-test,1136,0,458,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,91.0,,,,,301.0,,,,,,,,,,,3.0,,,,,,,,,,,,50.0,,,,10.0,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,92,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,56.0,,,,,,,,,,4.0,1.0,,,,,4.0,,,,,,,,,,,,1.0,,,,20.0,,,,,,1.0,1.0,,,,,,,,,,,
orv_rnc-ud-train,1868,0,528,,14.0,7.0,12.0,,,,,,,1.0,,,,,,6.0,,,,,,,23.0,,,3.0,,,,,340.0,,,,,,,,,,6.0,1.0,,,,,15.0,6.0,,,,,,,,4.0,,,12.0,,,,52.0,,,,,,,,,,,,,1.0,8.0,,10.0,7.0,
orv_rnc-ud-test,717,0,313,,5.0,5.0,18.0,,,,,,,,,,,,,8.0,,,,,,,42.0,,,3.0,,,,,121.0,,,1.0,,,,,,,13.0,,,,,,10.0,7.0,,,,,,,,,,,7.0,,,,34.0,,,,,,,,,,,,,,1.0,,25.0,13.0,
la_circse-ud-test,1263,0,111,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,63.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,1.0,14.0,,,,15.0,1.0,6.0,,,,,,2.0,,,,,,,,,,
he_iahltwiki-ud-train,4298,0,58,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,18.0,,,,,,7.0,,,,,8.0,,,,17.0,,,,,,,,,,,,,,,,,,
he_iahltwiki-ud-dev,348,0,7,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,
he_iahltwiki-ud-test,393,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,450.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,226.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
qpm_philotis-ud-test,635,0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
pt_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,20.0,,,,10.0,,15.0,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,14.0,,4.0,23.0,,,,16.0,,11.0,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,73,,,,,,,,,,,8.0,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,,,,,,,5.0,,,22.0,,,,17.0,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,81,,,,,,,,,,,8.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,7.0,,,31.0,,,,21.0,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,404,,,,,,,,,,,40.0,,,,,,,,31.0,,,,,3.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,7.0,71.0,,,,,,,,47.0,,,113.0,,,,84.0,,,,,,,,,,,,,,1.0,,2.0,1.0,
sms_giellagas-ud-test,230,0,5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,1.0,,,,,,20.0,,212.0,,,,,,1.0,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,24.0,,242.0,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,2751,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,193.0,,21.0,,,,,,177.0,,2169.0,,,,,,40.0,9.0,,,,,,,,,,,24.0,,,,101.0,,15.0,,,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,35,,1.0,3.0,6.0,,,,,,,1.0,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,10.0,4.0,
lt_hse-ud-test,55,0,10,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,
lt_hse-ud-dev,55,0,15,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,3.0,
ess_sli-ud-test,309,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,911,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,691.0,,,,,,,,,,,5.0,1.0,,,,51.0,15.0,,,,,,,,1.0,,,65.0,,,,72.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,
be_hse-ud-dev,1301,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,
be_hse-ud-test,1077,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,48.0,,,,56.0,,,,,,,,,,,,,,,,3.0,,
et_ewt-ud-test,913,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,10.0,,,,12.0,,,,,,,,,,,,,,,,1.0,,
et_ewt-ud-dev,833,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,3.0,,,,31.0,,,,,,,,,,,,,,,,,,
wo_wtb-ud-dev,449,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,10.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,84,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,3.0,,,,7.0,,,,,,,,,,,,1.0,,,,40.0,,
say_autogramm-ud-test,1864,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,
cs_pud-ud-test,1000,0,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,45.0,,240.0,,,,,,1.0,9.0,,,,,,,,,,,33.0,,,,19.0,,8.0,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,160,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,108.0,,,,,23.0,,,,,,2.0,,,,,3.0,2.0,,,,,,,,2.0,,,1.0,,,,18.0,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,799,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,544.0,,,,,125.0,,,,,,,,,,,24.0,4.0,,,,,,,,1.0,,,3.0,,,,97.0,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,8.0,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,12.0,,,,,,,,,,,,,,,,,,
lzh_tuecl-ud-test,100,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_gumreddit-ud-train,686,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,12.0,,,,9.0,,,,,,,,,,,,,,,,,,
en_gumreddit-ud-dev,104,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,115.0,,,,10.0,,7.0,,,,,,,,,,,,,,,,
cop_scriptorium-ud-train,1419,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
cop_scriptorium-ud-test,403,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
ro_nonstandard-ud-test,1052,0,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,54.0,12.0,200.0,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,2.0,,,,,,,
ro_nonstandard-ud-dev,1052,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,3.0,42.0,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
ro_nonstandard-ud-train,24121,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,46.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ro_simonero-ud-test,491,0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,75.0,1.0,62.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,17.0,575.0,29.0,426.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,54.0,3.0,53.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,30.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,349,,27.0,3.0,40.0,,,,,,,,1.0,,,,,15.0,,,,,,,47.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,2.0,,,,,,11.0,,,,,,,,,,,,22.0,,92.0,59.0,
lt_alksnis-ud-dev,617,0,271,,30.0,6.0,35.0,,,,,,,,,,,,,8.0,,,,,,,37.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,1.0,,1.0,3.0,,,,1.0,,12.0,,,,,,,,,,,,3.0,,63.0,34.0,
lt_alksnis-ud-train,2341,0,913,,94.0,16.0,117.0,,,,,,,,2.0,,,,,28.0,,,,,,,145.0,,,26.0,,,,,,,,,,,,,,,,,,,,,1.0,137.0,,,,,,,,8.0,,,15.0,,,,1.0,,21.0,,,,,,,,,,,,24.0,,170.0,108.0,
vi_tuecl-ud-test,100,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
cu_proiel-ud-train,18327,0,5472,,1.0,,2.0,,,,,,,,2.0,,,,,1.0,,,,,,,2.0,,,,,,1.0,,1126.0,,,,,,,,,,3948.0,,,,,,,17.0,,,,,,,,4.0,,,86.0,,,,248.0,,30.0,,,,,,,,,,,3.0,,,,1.0,
cu_proiel-ud-test,2096,0,729,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,149.0,,,,,,,,,,518.0,,,,,,,,,,,,,,,1.0,,,15.0,,,,36.0,,6.0,,,,,,,,,,,,,,,1.0,
cu_proiel-ud-dev,2205,0,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,,9.0,,,,20.0,,2.0,,,,,,,,,,,1.0,,,,,
olo_kkpp-ud-test,106,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
it_old-ud-train,1748,0,955,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,9.0,,101.0,67.0,,550.0,,,,,,18.0,7.0,,,,,,,,,,,143.0,,,,34.0,3.0,2.0,,,,,,18.0,,,,,,,,,,
it_old-ud-dev,316,0,246,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,20.0,17.0,,142.0,,,,,,12.0,,,,,,,,,1.0,,,32.0,,,,11.0,,1.0,,,,,,9.0,,,,,,,,,,
it_old-ud-test,338,0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,17.0,7.0,,107.0,,,,,,8.0,,,,,,,,,,,,41.0,,,,8.0,,,,,,,,8.0,,,,,,,,,,
hy_bsut-ud-train,1226,0,81,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,60.0,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,4.0,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,53,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,36.0,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,3.0,,,,8.0,,,,,,,,,,,,,,,,,,
