Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:clitic,aux:ex,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,cop:locat,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,discourse,discourse:q,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
uk_iu-ud-test,898,0,1034,17.0,26.0,,78.0,59.0,,,,,,,2.0,,,17.0,,,20.0,,,,,,,,42.0,,,,,,,,,140.0,,93.0,,,25.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,66.0,,13.0,,1.0,,4.0,,,,,380.0,,44.0,,,1.0,,
bn_bru-ud-test,56,0,11,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,
hi_hdtb-ud-train,13306,0,2859,,175.0,,94.0,718.0,,,,,,,,,,5.0,,,512.0,,,,352.0,,,,,,,,,54.0,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,10.0,,222.0,18.0,,,,,,,,,,,,,,,,,,,,587.0,,3.0,,,,,
hi_hdtb-ud-dev,1659,0,357,,19.0,,8.0,90.0,,,,,,,,,,1.0,,,59.0,,,,46.0,,,,,,,,,7.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,31.0,2.0,,,,,,,,,,,,,,,,,,,,78.0,,1.0,,,,,
hi_hdtb-ud-test,1684,0,336,,12.0,,9.0,79.0,,,,,,,,,,1.0,,,59.0,,,,54.0,,,,,,,,,2.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,32.0,3.0,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,
orv_rnc-ud-dev,943,0,119,,5.0,,8.0,13.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,27.0,,16.0,,,,,
orv_rnc-ud-train,1868,0,594,,31.0,,30.0,63.0,,,,,,,,,,5.0,,,1.0,,,,,,,,16.0,,,,,,,,,235.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,5.0,,,,,1.0,,,,,24.0,,2.0,,,,,,,,,112.0,,56.0,,,,,
orv_rnc-ud-test,717,0,368,,8.0,,13.0,27.0,,,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,,,159.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,11.0,,,,,,,,,,,79.0,,45.0,,,,,
cpg_tuecl-ud-test,350,0,111,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,68.0,,3.0,,,,,
la_circse-ud-test,1263,0,2944,,109.0,,112.0,179.0,16.0,,23.0,,52.0,12.0,,,,3.0,,1.0,3.0,,,,47.0,,,,57.0,,,15.0,3.0,,,,,988.0,14.0,193.0,,,69.0,,,,,10.0,17.0,,,,,,,,,4.0,,,,,1.0,,,,3.0,,,,,,,4.0,,,,,,,6.0,1.0,,5.0,,,,,1.0,,18.0,,,,,,,3.0,,,,830.0,,144.0,,,,1.0,
grc_perseus-ud-dev,1137,0,593,,38.0,,,41.0,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,106.0,,89.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,,,,,,,
grc_perseus-ud-train,11476,0,4264,,203.0,,,199.0,,,,,,,,,,,,3.0,,,,,,,,,35.0,,,,,,,,,922.0,,317.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,2574.0,,,,,,,
grc_perseus-ud-test,1306,0,452,,25.0,,,31.0,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,45.0,,99.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,227.0,,,,,,,
qpm_philotis-ud-train,980,0,2292,,7.0,,29.0,145.0,,,,,,,,,,3.0,,4.0,1089.0,,,,8.0,,,,146.0,,,,,,,,,356.0,,,,,38.0,,,,,3.0,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,9.0,,,,,,,,,,,352.0,,92.0,,,,,
qpm_philotis-ud-dev,635,0,1221,,17.0,,,60.0,,,,,,,,,,5.0,,,626.0,,,,,,,,90.0,,,,,,,,,161.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,5.0,,,,,,,,,,,201.0,,48.0,,,,,
qpm_philotis-ud-test,635,0,1300,,2.0,,9.0,70.0,,,,,,,,,,,,,662.0,,,,3.0,,,,64.0,,,,,,,,,182.0,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,227.0,,62.0,,,,,
hi_pud-ud-test,1000,0,801,,28.0,,64.0,20.0,,,,,,,,,,,,,134.0,,,,43.0,,,,52.0,,,,,,,,,52.0,,109.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,29.0,,,,,,,,,,,263.0,,2.0,,,,,
la_perseus-ud-test,939,0,1503,,21.0,,67.0,184.0,11.0,,8.0,,,,,,,23.0,,1.0,,,,,2.0,,,,96.0,,,,1.0,,,,,203.0,1.0,136.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,3.0,,,7.0,,,,,,,,,13.0,,,,,,,,,,,518.0,,139.0,,,,,
la_perseus-ud-train,1334,0,2231,,18.0,,90.0,309.0,11.0,,13.0,,,,,,,57.0,,,4.0,,,,11.0,,,,168.0,,,,,,,,,301.0,,159.0,,,68.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,4.0,1.0,1.0,14.0,,,,,,,,,12.0,,,,,,,,,,,770.0,,187.0,,,,,
sk_snk-ud-dev,1060,0,904,2.0,17.0,,62.0,40.0,,,,,,,,,,,,,17.0,,,,37.0,,,,36.0,,,,,,,,,55.0,,208.0,,,14.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,376.0,,32.0,,,,,
sk_snk-ud-test,1061,0,779,2.0,14.0,,66.0,13.0,,,,,,,,,,,,,2.0,,,,24.0,,,,4.0,,,,,,,,,61.0,,212.0,,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,332.0,,30.0,,,,,
sk_snk-ud-train,8483,0,8815,23.0,100.0,,292.0,312.0,,,,,,,,,,,,9.0,1834.0,,,,41.0,,,,624.0,,,,,5.0,,,,727.0,,1163.0,,,54.0,,,,,7.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,20.0,,,,,,,,,,,3231.0,,349.0,,,,,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
be_hse-ud-train,22853,0,13327,101.0,242.0,,1058.0,531.0,,,,,,,,,,30.0,,114.0,,,,,127.0,,,,510.0,,,,,1.0,,,,1973.0,,56.0,,,325.0,,,,1.0,2.0,,,,,,1.0,,2.0,,,,,,,2.0,3.0,,,,,,,1.0,9.0,,55.0,,,,,11.0,,10.0,4.0,,,,,,,,,672.0,,,,,,,,,,,6585.0,,901.0,,,,,
be_hse-ud-dev,1301,0,704,13.0,16.0,,45.0,31.0,,,,,,,,,,1.0,,2.0,,,,,16.0,,,,25.0,,,,,,,,,80.0,,5.0,,,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,43.0,,,,,,,,,,,354.0,,55.0,,,,,
be_hse-ud-test,1077,0,755,10.0,13.0,,73.0,32.0,,,,,,,,,,2.0,,2.0,2.0,,,,15.0,,,,12.0,,,,,,,,,111.0,,13.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,2.0,,,,,,,,,,,,38.0,,,,,,,,,,,374.0,,39.0,,,,,
wo_wtb-ud-dev,449,0,394,,,,,,,,,,,,,,,,,,256.0,,,,,,,,1.0,,,,,,,,,3.0,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,
wo_wtb-ud-test,470,0,382,,1.0,,2.0,,,,,,,,,,,,,,268.0,,,,,,,,2.0,,,,,,,,,2.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
wo_wtb-ud-train,1188,0,755,,1.0,,2.0,1.0,,,,,,,,,,,,,551.0,,,,,,,,5.0,,,,,,,,,2.0,,162.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,25.0,,1.0,,,,,
say_autogramm-ud-test,1864,0,291,,,,,1.0,,,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,
cs_pud-ud-test,1000,0,753,,24.0,,89.0,42.0,,,,,,,,,,60.0,,1.0,,,,,,,,,43.0,,,,,,,,,90.0,,3.0,,,15.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,7.0,,,,,,,,,,,302.0,,68.0,,,,,
orv_ruthenian-ud-test,390,0,374,,10.0,,33.0,52.0,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,107.0,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,102.0,,29.0,,,,,
orv_ruthenian-ud-train,2789,0,1872,,53.0,,104.0,317.0,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,528.0,,,,,17.0,,,,,,,,1.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,30.0,,,,,,,,,,3.0,628.0,,111.0,,,,,
orv_ruthenian-ud-dev,344,0,196,,6.0,,3.0,26.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,45.0,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,93.0,,5.0,,,,,
ml_ufal-ud-test,218,0,32,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,27.0,,,,,,,
sq_tsa-ud-test,60,0,92,,,,4.0,7.0,,,,,,,,,,,,,10.0,,,,,,,,2.0,,,,,,,,,6.0,,18.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,10.0,,,,,
mr_ufal-ud-dev,46,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
mr_ufal-ud-test,47,0,12,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,8.0,,,,,,,
mr_ufal-ud-train,373,0,102,,1.0,,,10.0,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,1.0,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,60.0,,,,,,,
ar_padt-ud-dev,909,0,1003,1.0,157.0,,113.0,92.0,,,,,,,,,,,,,,,,,,,,,201.0,,,,,,,,,133.0,,20.0,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,77.0,,38.0,,,,,
ar_padt-ud-train,6075,0,7698,18.0,1341.0,,737.0,601.0,,,,,,,,,,,,7.0,1.0,,,,,,,,1560.0,,,,,,,,,1189.0,,156.0,,,291.0,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,865.0,,,,,,,,,,,645.0,,277.0,,,,,
ar_padt-ud-test,680,0,965,2.0,163.0,,94.0,92.0,,,,,,,,,,,,1.0,,,,,,,,,186.0,,,,,,,,,172.0,,18.0,,,27.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,65.0,,37.0,,,,,
cu_proiel-ud-train,18327,0,2270,,85.0,,,111.0,,,,,,,,,,,,,39.0,,,,1.0,,,,20.0,,,,,,,,,333.0,,459.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,16.0,,,,,,,,5.0,,6.0,,,,,,,,,,,1179.0,,,,,,,
cu_proiel-ud-test,2096,0,373,,16.0,,,20.0,,,,,,,,,,,,,8.0,,,,,,,,3.0,,,,,,,,,47.0,,67.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,202.0,,,,,,,
cu_proiel-ud-dev,2205,0,294,,14.0,,,11.0,,,,,,,,,,,,,8.0,,,,,,,,7.0,,,,,,,,,33.0,,79.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,
it_old-ud-train,1748,0,998,,14.0,,158.0,101.0,,,15.0,,2.0,9.0,,,,,,,131.0,,,,23.0,,,,35.0,,,1.0,2.0,,,,,84.0,,156.0,,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,2.0,,60.0,,,,,,,,,,,183.0,,6.0,,,,,
it_old-ud-dev,316,0,231,,4.0,,39.0,22.0,,,6.0,,1.0,,,,,,,,36.0,,,,2.0,,,,8.0,,,,1.0,,,,,21.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,32.0,,2.0,,,,,
it_old-ud-test,338,0,242,,2.0,,25.0,34.0,,,4.0,,,2.0,,,,,,,41.0,,,,8.0,,,,6.0,,,,1.0,,,,,23.0,,39.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,36.0,,1.0,,,,,
hy_bsut-ud-train,1226,0,1868,,35.0,,62.0,37.0,,,,,,10.0,,,,,,3.0,858.0,,,,,,,,27.0,,,,,,,,1.0,118.0,,384.0,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,15.0,,,,,,,,,,,306.0,,2.0,,,,,
hy_bsut-ud-test,595,0,1087,,8.0,,28.0,12.0,,,,,,8.0,,,,,,,485.0,,,1.0,,,,,17.0,,,,,,,,,128.0,,190.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,193.0,,1.0,,,,,
hy_bsut-ud-dev,479,0,993,,12.0,,33.0,24.0,,,,,,4.0,,,,,,,478.0,,,,,,,,9.0,,,,,,,,1.0,75.0,,176.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,15.0,,,,,,,,,,,162.0,,,,,,,
la_llct-ud-dev,850,0,1530,,100.0,,219.0,41.0,46.0,,58.0,,,1.0,,,,,,,42.0,,,,60.0,,,,108.0,,,11.0,,,,,,224.0,,95.0,,,8.0,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,193.0,,255.0,,,,,
la_llct-ud-test,884,0,1405,,104.0,,194.0,50.0,19.0,,18.0,,,2.0,,,,,,,37.0,,,,29.0,,,,98.0,,,2.0,,,,,,240.0,,115.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,198.0,,231.0,,,,,
la_llct-ud-train,7289,0,11279,,592.0,,1295.0,343.0,53.0,,265.0,,,17.0,,,,,,,273.0,,,,552.0,,,,919.0,,,95.0,,,,,,1772.0,,761.0,,,98.0,,,,,5.0,15.0,,,,,,,2.0,,,,,,,302.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,28.0,,,,,,,,,,,1694.0,,2196.0,,,,,
ar_pud-ud-test,1000,0,940,,1.0,,188.0,124.0,,,,,,,,,,,,2.0,6.0,,,,,,,,80.0,,,,,,,,,88.0,,27.0,,,46.0,,,,,2.0,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,9.0,,,,,,,,,,,310.0,,49.0,,,,,
quc_iu-ud-test,1435,0,588,,31.0,,,36.0,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,11.0,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,410.0,,14.0,,,,,
bho_bhtb-ud-test,357,0,15,,,,,3.0,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
it_pud-ud-test,1000,0,224,,1.0,,39.0,6.0,,,,,,,,,,,,,52.0,,,,20.0,,,,3.0,,,,,,,,,14.0,,46.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,
bm_crb-ud-test,1026,0,365,,,,,,,,,,,,,,,,,,359.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,2.0,,,,,,,
