Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,amod,appos,ccomp,compound,compound:nn,conj,conj:expl,csubj,csubj:pass,dep,dislocated,flat,flat:foreign,flat:name,flat:range,flat:redup,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,vocative,xcomp
hy_armtdp-ud-test,277,0,50,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,4.0,31.0,,,,,10.0,,,,,,,,
orv_birchbark-ud-train,1045,0,44,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,5.0,,,,,,,25.0,,,,1.0,,7.0,,
orv_birchbark-ud-dev,1062,0,74,,,,,,,3.0,,,,13.0,,,,1.0,,,,,,,,,4.0,,,,,,,43.0,,,,4.0,,6.0,,
orv_birchbark-ud-test,1007,0,109,,,1.0,,,1.0,2.0,,1.0,,14.0,,,,1.0,,,,,,,,,18.0,,,1.0,,,2.0,56.0,,,,2.0,,10.0,,
ru_poetry-ud-test,728,0,29,,,,,,,4.0,,,,6.0,,,,,,,,,,,,,8.0,,,,,1.0,3.0,5.0,,,,,,2.0,,
ru_poetry-ud-dev,789,0,31,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,7.0,,,5.0,,,3.0,9.0,,,,,,2.0,1.0,
ru_poetry-ud-train,3569,0,130,,,,,,,5.0,,,,9.0,,,,,,,,,,,2.0,,31.0,,,22.0,,,3.0,35.0,,,,,1.0,12.0,9.0,1.0
koi_uh-ud-train,34,0,5,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,
cs_fictree-ud-dev,1309,0,24,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,9.0,,,2.0,,,3.0,6.0,,,,,,,,
cs_fictree-ud-train,10160,0,118,,,,,,,,,,,6.0,,,,2.0,,,,,,,,,43.0,,,8.0,,,,52.0,,1.0,,,,6.0,,
cs_fictree-ud-test,1291,0,26,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,12.0,,,3.0,,,1.0,7.0,,,,,,1.0,,
la_udante-ud-train,926,0,102,,1.0,1.0,,,13.0,,2.0,,,2.0,3.0,,,,,4.0,,,,,,,17.0,,,13.0,,3.0,10.0,15.0,1.0,5.0,4.0,1.0,,3.0,1.0,3.0
la_udante-ud-test,419,0,112,,,2.0,4.0,2.0,2.0,,,,,17.0,1.0,,,,,1.0,8.0,1.0,,,,,30.0,,,4.0,,1.0,2.0,27.0,,4.0,1.0,2.0,,,1.0,2.0
la_udante-ud-dev,376,0,89,,,1.0,2.0,,1.0,1.0,,,,8.0,,,,,,2.0,,,,,,,37.0,,,,,3.0,14.0,13.0,1.0,,1.0,1.0,,,1.0,3.0
hyw_armtdp-ud-test,680,0,190,,,,1.0,,27.0,2.0,,,,14.0,,,,,1.0,12.0,,4.0,1.0,,1.0,,3.0,13.0,52.0,14.0,,,3.0,40.0,,,,,1.0,1.0,,
hyw_armtdp-ud-dev,694,0,110,,,,,,10.0,1.0,,,,8.0,,,,,1.0,1.0,,,1.0,,,,5.0,5.0,46.0,3.0,,,1.0,28.0,,,,,,,,
hyw_armtdp-ud-train,5282,0,1417,,1.0,,,,163.0,16.0,2.0,2.0,,130.0,,,,,1.0,8.0,,10.0,9.0,,5.0,1.0,67.0,70.0,490.0,94.0,,6.0,33.0,266.0,4.0,,,5.0,8.0,20.0,,6.0
ka_glc-ud-test,151,0,9,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,1.0,1.0,,,,,,,,,
cs_pdt-ud-test,10146,0,2934,5.0,1.0,,3.0,,1.0,33.0,2.0,,,330.0,,1.0,,124.0,,4.0,,,,,5.0,,1315.0,,,226.0,,3.0,38.0,506.0,,38.0,,16.0,,283.0,,
cs_pdt-ud-dev,9270,0,2727,2.0,1.0,2.0,3.0,,,22.0,3.0,,,344.0,,,,52.0,,10.0,,,,,1.0,,1261.0,,,194.0,,4.0,32.0,441.0,,47.0,,30.0,1.0,275.0,,2.0
cs_pdt-ud-train,68491,0,20917,23.0,6.0,11.0,37.0,,1.0,168.0,17.0,,,2368.0,,4.0,2.0,607.0,,39.0,,,,,10.0,,9764.0,,,1508.0,,52.0,303.0,3359.0,,285.0,,101.0,3.0,2243.0,2.0,4.0
lzh_kyoto-ud-dev,6102,0,529,,,,,,,,,7.0,,60.0,,,,,,1.0,,,,,1.0,,229.0,,,35.0,1.0,,154.0,1.0,,,38.0,,,2.0,,
lzh_kyoto-ud-train,74609,0,5051,,5.0,,4.0,,17.0,,,331.0,,551.0,,1.0,,,2.0,8.0,,,,,9.0,,1749.0,,,282.0,9.0,,1590.0,15.0,,,454.0,,3.0,21.0,,
lzh_kyoto-ud-test,5528,0,235,,2.0,,,,,,,11.0,,20.0,,,,,,,,,,,,,60.0,,,18.0,1.0,,89.0,,,,33.0,,,,,1.0
la_ittb-ud-train,22775,0,16,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,2.0,6.0,,3.0,,,,,,
cs_cac-ud-dev,603,0,111,,,,,,9.0,,,,,11.0,,,,,,,,,,,,,77.0,,,2.0,,,,10.0,,,,,,2.0,,
cs_cac-ud-train,23478,0,3531,,1.0,1.0,2.0,,192.0,35.0,2.0,,,501.0,,1.0,,44.0,,9.0,5.0,,,,,,1938.0,,,137.0,,4.0,22.0,512.0,,20.0,,33.0,1.0,70.0,,1.0
cs_cac-ud-test,628,0,31,,,,,,,,,,,1.0,,,,,,,,,,,,,24.0,,,,,,,6.0,,,,,,,,
ab_abnc-ud-test,263,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,,
cs_poetry-ud-test,297,0,23,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,5.0,,,5.0,,,2.0,5.0,,1.0,,,,1.0,,
