Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cau,advcl:cleft,advcl:cmp,advcl:tcl,amod,appos,aux,case,ccomp,ccomp:obj,ccomp:quote,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,dep,discourse,dislocated,fixed,flat,iobj,nmod,nmod:arg,nmod:flat,nmod:part,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:inst,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rep,parataxis:trans,reparandum,root,xcomp,xcomp:lo,xcomp:pred
tt_nmctt-ud-test,148,0,87,,,,2.0,,,,,,,6.0,,,,,,,,,11.0,,,,,,,,,,23.0,,,,,12.0,,,17.0,15.0,,,,,,,,,,,,,,,,1.0,,,
tr_gb-ud-test,2880,0,332,,18.0,,89.0,,,,,,,4.0,,40.0,,,,,,,4.0,8.0,47.0,35.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,14.0,71.0,,
ga_idt-ud-train,4005,0,580,,6.0,1.0,7.0,,,,,,1.0,,,1.0,,,,,,,36.0,,,,,,1.0,,,,8.0,,,,,2.0,,,3.0,12.0,,,,,,,,,6.0,,,,,,,4.0,487.0,,5.0
ga_idt-ud-test,454,0,90,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,81.0,,1.0
ga_idt-ud-dev,451,0,86,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,75.0,,1.0
ota_boun-ud-train,114,0,45,,,,7.0,,,,,,,,,9.0,,,2.0,7.0,,,4.0,,2.0,,,,,,,,,,,,,2.0,,1.0,1.0,5.0,,,,,,,,,,,,,,,,3.0,2.0,,
ota_boun-ud-test,400,0,121,,,,10.0,,,,,,,,,22.0,,,4.0,22.0,,,10.0,,13.0,,,,,,,,2.0,,,,7.0,1.0,,,,15.0,,,,,,,,,,,,,,,,2.0,13.0,,
sjo_xdt-ud-test,810,0,165,,41.0,36.0,8.0,,,,,,,,,1.0,,,,,,,2.0,,8.0,,,,,,,,2.0,,,,,35.0,,1.0,7.0,8.0,,,,,,1.0,1.0,,6.0,,,,,,,4.0,4.0,,
ha_southernautogramm-ud-test,1918,0,335,,1.0,24.0,6.0,,23.0,,,,2.0,,,20.0,,,4.0,,,,22.0,,,,,3.0,5.0,4.0,,,20.0,,,,,2.0,,,79.0,15.0,,14.0,,,,,,,7.0,,,,,,1.0,79.0,4.0,,
gd_arcosg-ud-test,545,0,324,,,,,,,,,,,,,,,,,,,,11.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,67.0,,239.0
gd_arcosg-ud-train,3541,0,2070,,1.0,2.0,,,,,,,,,,3.0,,,,,,,67.0,,,4.0,,,,,,,3.0,,,,,1.0,,1.0,,4.0,,,,,,,,,4.0,,,,,,3.0,22.0,401.0,,1554.0
gd_arcosg-ud-dev,655,0,261,,1.0,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,4.0,56.0,,192.0
cy_ccg-ud-test,953,0,1581,,207.0,2.0,110.0,,,,,,4.0,,,202.0,,,,,,,103.0,50.0,8.0,,,,,,,,64.0,,,,,9.0,,,10.0,23.0,,,,,,,,,3.0,,,,,,,22.0,764.0,,
cy_ccg-ud-dev,409,0,833,,109.0,2.0,79.0,,,,,,1.0,,,78.0,,,,,,,56.0,29.0,4.0,,,,,,,,48.0,,,,,4.0,,,7.0,4.0,,,,,,,,,,,,,,,,7.0,405.0,,
cy_ccg-ud-train,1189,0,2372,,347.0,,259.0,,,,,,2.0,,,291.0,,,,,,,154.0,87.0,17.0,,,,,,,,105.0,,,,,20.0,,,9.0,33.0,,,,,,,,,3.0,,,,,,,38.0,1007.0,,
ka_glc-ud-test,151,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ha_northernautogramm-ud-test,400,0,106,,1.0,2.0,1.0,,22.0,,,,,,,5.0,,,,,,,12.0,,1.0,,,,1.0,,,,6.0,,,,,3.0,,,16.0,2.0,,2.0,,,,,,,1.0,,,,,,,23.0,8.0,,
cs_pdt-ud-test,10146,0,2893,4.0,2.0,1.0,7.0,,,,,,23.0,,,6.0,,,,,,,233.0,,1.0,,28.0,,,14.0,,2.0,836.0,,,,,368.0,,42.0,352.0,578.0,,284.0,,,,,,10.0,,,,,,,,87.0,15.0,,
cs_pdt-ud-dev,9270,0,2868,7.0,1.0,2.0,11.0,,,,,,33.0,,,3.0,,,,,,,243.0,,2.0,,14.0,,,13.0,,1.0,796.0,,,,,390.0,,54.0,349.0,561.0,,298.0,,,,,,8.0,,,,,,,,71.0,11.0,,
cs_pdt-ud-train,68491,0,20277,35.0,8.0,20.0,60.0,,,,,,215.0,,,33.0,,,,,,,1893.0,,5.0,,184.0,,,119.0,,5.0,5691.0,,,,,2494.0,,333.0,2323.0,4029.0,,2123.0,,,,,,61.0,5.0,,,,,,,591.0,50.0,,
ota_dudu-ud-test,85,0,12,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,,
qtd_sagt-ud-test,805,0,91,,9.0,,10.0,,,,,,,,,10.0,,,,,,,8.0,,13.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,7.0,25.0,,
qtd_sagt-ud-dev,801,0,97,,4.0,,14.0,,,,,,,,,11.0,,,1.0,,,,7.0,,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,8.0,37.0,,
qtd_sagt-ud-train,578,0,52,,3.0,,7.0,,,,,,,,,7.0,,,1.0,,,,2.0,,8.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,4.0,16.0,,
ga_cadhan-ud-test,193,0,39,,3.0,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,
pl_pud-ud-test,1000,0,220,,,,,,,,,,,,,,,,,,,,27.0,,,,1.0,,,,,6.0,20.0,36.0,,,,20.0,,1.0,26.0,49.0,1.0,28.0,,2.0,,,,1.0,,,,,,,,,1.0,,1.0
cs_cac-ud-dev,603,0,348,,,,,,,,,,2.0,,,,,,,,,,68.0,,,,2.0,,,2.0,,,119.0,,,,,21.0,,9.0,20.0,57.0,,29.0,,,,,,1.0,,,,,,,,18.0,,,
cs_cac-ud-train,23478,0,11469,8.0,2.0,11.0,19.0,,,,,,114.0,,,7.0,,,,,,,1785.0,,1.0,,79.0,,,38.0,,,3726.0,,,,,1183.0,,212.0,905.0,2027.0,,1068.0,,,,,,43.0,1.0,,,,,,,214.0,26.0,,
cs_cac-ud-test,628,0,327,,,,,,,,,,,,,,,,,,,,70.0,,,,2.0,,,1.0,,,77.0,,,,,25.0,,,27.0,82.0,,34.0,,,,,,3.0,,,,,,,,6.0,,,
yrl_complin-ud-test,1470,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am_att-ud-test,1074,0,124,,6.0,,19.0,,,,,,,,,11.0,,,,,,,,,15.0,,,1.0,,,,,1.0,,,,,8.0,,1.0,4.0,20.0,,,,,,,,,,,,,,,,11.0,27.0,,
pl_lfg-ud-test,1727,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,4.0,9.0,,,9.0,26.0,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,461,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,6.0,39.0,,,,20.0,58.0,,2.0,49.0,265.0,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,50,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,7.0,,,,,4.0,,,7.0,31.0,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
tr_tourism-ud-dev,2166,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
ab_abnc-ud-test,263,0,30,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,19.0,
cs_poetry-ud-test,297,0,33,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,10.0,,,,,4.0,,1.0,3.0,8.0,,1.0,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,920,,2.0,,29.0,,,,,2.0,1.0,,,21.0,,,85.0,48.0,3.0,,67.0,,23.0,,,,1.0,,7.0,1.0,171.0,,,,124.0,104.0,,,181.0,5.0,,,,,,,,,4.0,,,,,,,21.0,20.0,,
tr_imst-ud-dev,1100,0,256,,,,13.0,,,,,2.0,,,,3.0,,,31.0,16.0,,,14.0,,4.0,,,,,,5.0,,46.0,,,,37.0,18.0,,,58.0,,,,,,,,,,,,,,,,,2.0,7.0,,
tr_imst-ud-test,1100,0,208,,,,12.0,,,,,1.0,,,,6.0,,,19.0,10.0,,,9.0,,5.0,,,,,,,,34.0,,,,22.0,28.0,,,43.0,,,,,,,,,,,,,,,,,15.0,4.0,,
tr_boun-ud-dev,979,0,356,,4.0,,19.0,,,,,,,,,41.0,,,25.0,25.0,,,41.0,,18.0,,,,,1.0,,,17.0,,,,51.0,17.0,,,34.0,37.0,,,,,,,,,,,,,,,,6.0,20.0,,
tr_boun-ud-test,979,0,302,,4.0,,20.0,,,,,2.0,,,,38.0,,,19.0,18.0,,,20.0,,39.0,,,,1.0,,,,10.0,,,,53.0,16.0,,,15.0,23.0,,,,,,,,1.0,,,,,,,,11.0,12.0,,
tr_boun-ud-train,7803,0,2173,,8.0,,173.0,,,,,10.0,1.0,2.0,1.0,272.0,,,108.0,123.0,7.0,,190.0,7.0,192.0,,,2.0,,,1.0,2.0,81.0,,,1.0,317.0,143.0,,,171.0,199.0,,,,,,,,1.0,5.0,,,,,,,93.0,63.0,,
tr_penn-ud-dev,622,0,10,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,,
tr_penn-ud-test,924,0,10,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,
tr_penn-ud-train,14850,0,89,,,,1.0,,,,,,1.0,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,75.0,,,
