Treebank,Number of Sentences,Failures,Total,_,acl,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:cmp,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,case,case:loc,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:infl,det,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,expl,fixed,flat,flat:foreign,flat:name,flat:redup,iobj,list,mark,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:result
et_ewt-ud-dev,833,0,12,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,9,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,302,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,1.0,,,,,2.0,,,,1.0,24.0,,,,,,,,16.0,,,1.0,,1.0,,,,,1.0,,,3.0,,,,,,,,47.0,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,
hy_bsut-ud-test,595,0,149,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,15.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,17.0,,,,,,,,,97.0,,,,,,,,,,,,,,,,1.0,,4.0,,,4.0,,,
hy_bsut-ud-dev,479,0,131,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,14.0,,,,,,,,3.0,,,,,,,,,,,1.0,,2.0,,,,,,,,20.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
mdf_jr-ud-test,454,0,62,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,14.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,1.0,13.0,,,,1.0,10.0,,,,4.0,,,,,,,,,,,,3.0,,4.0,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,3436,,28.0,,12.0,3.0,206.0,,,1.0,,,,,,,,,,,,248.0,144.0,,,,,,,,,,,,,,473.0,,,,,,,,,,,569.0,,,,1.0,,,3.0,86.0,,,,,,,297.0,,,,,,,,254.0,2.0,,,857.0,,200.0,,,,,,,1.0,,,,,,,,,,,1.0,48.0,,2.0,
la_llct-ud-test,884,0,3495,,26.0,,9.0,4.0,229.0,,,6.0,,,,,1.0,,,,,,,255.0,117.0,,,,,,,,,,,,,,470.0,,,,,,,,,,,527.0,,2.0,,1.0,2.0,,5.0,93.0,,,,,,,366.0,,,,,,,,264.0,2.0,,1.0,847.0,,232.0,,,,,,,2.0,,,,,,2.0,,,,,,32.0,,,
la_llct-ud-train,7289,0,30427,,254.0,,85.0,81.0,1584.0,,,31.0,,,,2.0,2.0,,,,,,,2050.0,1036.0,,,,4.0,1.0,,,,,,,,,3709.0,,,,,1.0,,,,,,5156.0,,4.0,,1.0,14.0,,38.0,1484.0,,,,,,7.0,2399.0,,,,,,,,1922.0,77.0,5.0,1.0,8036.0,,1986.0,,,,,,,,,,,,,1.0,5.0,,,,5.0,424.0,,22.0,
fi_tdt-ud-train,12217,0,811,1.0,11.0,,,2.0,,,,,,,,,,,,,,,,70.0,5.0,,2.0,,1.0,,,,,,,,,,36.0,,,,,,,,,,,38.0,,,,,,,1.0,,,8.0,,,,,125.0,,,,,,,,,,4.0,,437.0,,,,,,,,,,,,,,,,5.0,,,,,10.0,,55.0,
fi_tdt-ud-test,1555,0,101,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,,14.0,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,6.0,
fi_tdt-ud-dev,1364,0,87,,3.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,23.0,,,,,,,,,,2.0,,40.0,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,
myv_jr-ud-test,921,0,147,,,,,2.0,,,,,,,,,,,5.0,2.0,4.0,,5.0,,,,3.0,,,,,,3.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,89.0,,,,,14.0,,,,1.0,,,,,,1.0,1.0,,,,,,,4.0,
myv_jr-ud-train,1217,0,155,,,,,2.0,,,,2.0,,,,,,,1.0,,,1.0,4.0,1.0,,,5.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,5.0,78.0,,,,,40.0,,,,1.0,,,,,,,,,,,,,,7.0,
tr_framenet-ud-test,205,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,338,,,,,38.0,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,76.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,3.0,,,19.0,152.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_framenet-ud-dev,205,0,25,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
ky_ktmu-ud-train,80,0,10,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,108,,1.0,,,2.0,,,,,,,,,,,3.0,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32.0,,,,,,,,6.0,,6.0,2.0,49.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
la_proiel-ud-test,1260,0,1462,,38.0,,,103.0,,,,3.0,,,,,,,15.0,,,,,127.0,7.0,,,,4.0,,,,,,,,,,134.0,,,,,,,,2.0,,,161.0,,1.0,,,,,,,,5.0,,,,,66.0,,,,,,,,25.0,66.0,12.0,4.0,570.0,39.0,34.0,,,,,,,,,,,,,,20.0,,,,,19.0,1.0,6.0,
la_proiel-ud-dev,1233,0,1464,,29.0,,,112.0,,,,2.0,,,,,,,10.0,,,,,118.0,6.0,,,,7.0,,,,,,,,,,130.0,,,1.0,,,,,,,,178.0,,1.0,,,,,4.0,,,3.0,,,,,62.0,,,,,,,,31.0,48.0,10.0,7.0,576.0,41.0,42.0,,,,,,,,,,,,,,13.0,,1.0,,,24.0,,8.0,
la_proiel-ud-train,16196,0,19026,,398.0,,,1431.0,,,,28.0,,,,,,,172.0,,,,,1487.0,229.0,,,,97.0,,,,,,,,,,1528.0,,,3.0,,5.0,,,23.0,,,2041.0,,52.0,,,,,19.0,,,121.0,,,,,795.0,,,,,,,,379.0,740.0,150.0,38.0,7627.0,415.0,553.0,,,,,,,,,,,,,,245.0,,15.0,,,346.0,1.0,88.0,
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,24,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,5.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,27,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_gb-ud-test,2880,0,313,,1.0,,,32.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,6.0,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,25.0,,16.0,,,42.0,,,3.0,,,7.0,129.0,3.0,,,,,,,,,,,,,,34.0,,,1.0,,,3.0,,2.0,
fi_pud-ud-test,1000,0,55,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,
hy_armtdp-ud-train,1974,0,606,,1.0,,3.0,5.0,,,,,,,,,,,,,,,,,7.0,,2.0,17.0,1.0,,,,4.0,2.0,,,,,39.0,,,,,1.0,,,,,,3.0,,3.0,,,,,4.0,3.0,,,,,,,6.0,,,65.0,,,,,1.0,,,,412.0,4.0,,,,,,,,,,,,,,,8.0,,9.0,,,5.0,,1.0,
hy_armtdp-ud-dev,249,0,74,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,10.0,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,
hy_armtdp-ud-test,277,0,95,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,,,,,6.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,16.0,,,,,,,,,57.0,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,,,
ota_boun-ud-train,114,0,62,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,,,,5.0,35.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
ota_boun-ud-test,400,0,155,,,,,3.0,,,,,,,,,,,,,,,,5.0,,1.0,2.0,,5.0,,,,1.0,2.0,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,1.0,,,8.0,,,,,,10.0,,,,,6.0,102.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
et_edt-ud-dev,3128,0,102,,1.0,,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,761,,8.0,,,4.0,,,,,,,,,,,,,,,,43.0,2.0,,1.0,,3.0,,,,2.0,,,,,,38.0,,,,,,,,,,,22.0,,,,,,,,13.0,,,,,,,67.0,,,,,,,,,,6.0,,540.0,,,,,,,,,,,,,,,,3.0,,1.0,,,8.0,,,
et_edt-ud-test,3214,0,98,,,,1.0,,,,,,,,,,,,1.0,,,,,4.0,2.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,1.0,,69.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
sjo_xdt-ud-test,810,0,109,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,2600,,59.0,,43.0,73.0,95.0,,,18.0,,,,4.0,,,,,,,,249.0,8.0,,,,1.0,,1.0,,,,,,,,156.0,17.0,2.0,5.0,,,,1.0,,,,259.0,,,,,,,,5.0,,2.0,,,,,48.0,,,,,,,,58.0,49.0,6.0,3.0,1058.0,104.0,180.0,,,23.0,,,,25.0,,,,,,4.0,27.0,,,,,15.0,,2.0,
la_udante-ud-test,419,0,1074,,20.0,,3.0,26.0,19.0,,,23.0,,,,2.0,1.0,,,,,,,95.0,,,,,1.0,,,,,,,,,,89.0,9.0,,,,2.0,,,,,,127.0,,,,,,,,,4.0,,,,,,9.0,,,,,,,,11.0,11.0,5.0,2.0,379.0,28.0,161.0,,,4.0,,,,5.0,,,,,,1.0,27.0,,,,,8.0,,2.0,
la_udante-ud-dev,376,0,1038,,24.0,,1.0,31.0,39.0,,,11.0,,,,2.0,,,,,,,,108.0,1.0,,,,4.0,,1.0,,,,,,,,61.0,3.0,,,,,1.0,1.0,,,,102.0,,,,,,,,2.0,,,,,,,33.0,,,,,,,,23.0,17.0,2.0,6.0,431.0,48.0,60.0,,,2.0,,,,4.0,,,,,,3.0,14.0,,,,,2.0,,1.0,
hyw_armtdp-ud-test,680,0,223,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,2.0,1.0,,3.0,,,,,3.0,,,22.0,,,,,,,,,172.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-dev,694,0,285,,2.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,15.0,,,,,1.0,2.0,,,,,22.0,,,,,,,,4.0,,,,,1.0,,,,,,,,1.0,,,,,3.0,,,35.0,,,,,,,,,187.0,,,,,,,,,,,,,,,,2.0,,1.0,,,5.0,,1.0,
hyw_armtdp-ud-train,5282,0,1512,,5.0,,3.0,7.0,,,,,,,,,,,,,,,,,16.0,,4.0,48.0,2.0,,,,3.0,8.0,,,,,89.0,,,,,,,,31.0,,,,,1.0,,,,,6.0,5.0,,8.0,,,,,22.0,,,213.0,,,3.0,,,1.0,,4.0,976.0,8.0,,,,,,,,,,,,,,,2.0,,27.0,,,20.0,,,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,133,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,11.0,88.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
kk_ktb-ud-test,1047,0,171,,,,,14.0,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,46.0,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
kk_ktb-ud-train,31,0,12,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
