Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,advmod:emph,advmod:tmod,amod,appos,aux,case,cc,cc:preconj,ccomp,compound,compound:lvc,compound:prt,conj,cop,dep,det,discourse,dislocated,fixed,flat,flat:foreign,iobj,list,mark,nmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:arg,obl:cmpr,obl:lmod,obl:orphan,obl:pmod,obl:prep,obl:tmod,orphan,parataxis,parataxis:insert,punct,reparandum,root,xcomp
fi_tdt-ud-dev,1364,0,36,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af_afribooms-ud-train,1315,0,4365,,,,,,,,111.0,,,4231.0,,,,,,,3.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af_afribooms-ud-dev,194,0,622,,,,,,,,14.0,,,603.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af_afribooms-ud-test,425,0,1299,,,,,,,,22.0,,,1267.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-train,500,0,691,,,,1.0,,,,,,,688.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,678,,,,,,,,,,,668.0,,,,,,2.0,,,,,,,1.0,1.0,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,33,,,,,,,,,,,32.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_art-ud-test,50,0,41,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,1070,,,,,,,,,,,1057.0,,,,,,,,,,,,,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,1295,,,,,,,,,,,1270.0,,,,,,,1.0,,,,,,23.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,1158,,,,,,,,,,,1124.0,,,,,,,1.0,,,,,,32.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,223,,,,,3.0,1.0,,,,,201.0,1.0,,,,,,1.0,,,,6.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,
hy_armtdp-ud-dev,249,0,32,,,,,,1.0,,,,,29.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
hy_armtdp-ud-test,277,0,17,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,199,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,1589,,,,,,,,,,,1573.0,,,,,,,4.0,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,,,,
et_edt-ud-test,3214,0,183,,,,,,,,,,,182.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-train,4383,0,8888,,,1.0,,220.0,,,,1.0,,7585.0,,,,,,46.0,9.0,,,,,,72.0,,,,1.0,926.0,,,,,,,,,,,15.0,,,,1.0,,,,,,11.0,
da_ddt-ud-test,565,0,1076,,,,,31.0,,,,,,908.0,,,,,,9.0,,,,,,,10.0,,,,,116.0,,,,2.0,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,1131,,,1.0,,23.0,,,,,,968.0,,,,,,7.0,,,,,,,4.0,,,,,125.0,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,
cs_fictree-ud-dev,1309,0,1162,,,,,,,,,,,1155.0,,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_fictree-ud-train,10160,0,9055,,,,,,,,,,,9023.0,,,,,,,1.0,,,,,,25.0,,,,,3.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,1090,,,,,,,,,,,1084.0,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
qaf_arabizi-ud-train,1003,0,1170,,,1.0,,7.0,,,,1.0,,1084.0,1.0,,1.0,,,,2.0,,3.0,2.0,2.0,,4.0,,,,,20.0,5.0,,,8.0,,,1.0,7.0,,,,,,,,,11.0,,,,8.0,2.0
qaf_arabizi-ud-test,145,0,160,,,,1.0,2.0,,,,,,145.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,,,1.0,1.0
qaf_arabizi-ud-dev,139,0,173,,,1.0,,,,,,,,156.0,1.0,,2.0,,,,,,3.0,,,,2.0,,,1.0,,3.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0
hyw_armtdp-ud-test,680,0,96,,,,,2.0,,,,,,86.0,,,,,,,,,,,1.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0
hyw_armtdp-ud-dev,694,0,90,,,,,1.0,,,,,,80.0,,,,,,,,,,,3.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,671,,,,,7.0,1.0,,,,,599.0,,,,,7.0,,,,,,26.0,,17.0,3.0,,,,4.0,,,,,,,,3.0,,,,,,,,1.0,,,,,2.0,1.0
ro_rrt-ud-test,729,0,2388,,,,,66.0,,1.0,5.0,,,2043.0,,,,,,,2.0,,,,,,143.0,,,,,61.0,3.0,,,,,,,7.0,,,,,,,1.0,,,,55.0,,1.0,
ro_rrt-ud-train,8043,0,26783,,1.0,,8.0,828.0,,15.0,41.0,4.0,,22755.0,19.0,,2.0,4.0,,,23.0,,2.0,,1.0,,1594.0,9.0,,1.0,,906.0,17.0,,,5.0,,,6.0,58.0,,,,,2.0,,3.0,3.0,4.0,,454.0,,10.0,8.0
ro_rrt-ud-dev,752,0,2430,,1.0,,,89.0,,,6.0,,,2042.0,,,,,,,2.0,,,,,,174.0,1.0,,,,65.0,2.0,,,1.0,,,,7.0,,,,,,,,,,,37.0,,3.0,
cs_pdt-ud-test,10146,0,15228,4.0,,,1.0,,,,,,,15044.0,,,,,,,2.0,,,,,,165.0,,,,,3.0,4.0,,,,,,,4.0,,,,,,,,,,,,,1.0,
cs_pdt-ud-dev,9270,0,14183,8.0,,,,,,,,,,14031.0,,,,,,,4.0,,2.0,,,,127.0,,,,,4.0,3.0,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,
cs_pdt-ud-train,68491,0,104718,39.0,1.0,2.0,1.0,,,,,1.0,,103588.0,,,,,,,13.0,,8.0,,,,999.0,,,,,18.0,10.0,,,,,,1.0,22.0,,,,,,,,1.0,2.0,,,,11.0,1.0
gl_pud-ud-test,1000,0,2160,,,,,46.0,,,,,,2041.0,1.0,,,1.0,,,,,,,13.0,,54.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,45,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,1.0,,,,,
pl_pud-ud-test,1000,0,2045,,,,,14.0,14.0,,,,,1979.0,,,,,,,,,,,,,23.0,,,,,14.0,,,,,,,,,,,,1.0,,,,,,,,,,
cs_cac-ud-dev,603,0,939,,,,,,,,,,,920.0,,,,,,,,,,,,,17.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,42657,,,,,1.0,,,1.0,,,41898.0,,,,,,,15.0,,1.0,,,,673.0,8.0,5.0,,,8.0,30.0,,,2.0,,,2.0,9.0,2.0,,,,,,,,,,,,2.0,
cs_cac-ud-test,628,0,924,,,,,,,,,,,914.0,,,,,,,,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,10,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,1092,,,,,,,,,,,1088.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,8974,,,,,,,,,,,8932.0,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,1060,,,,,,,,,,,1057.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,510,,,,,,,,,,,507.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
